"species","spec_code","nutrient","value","sample_size","variance","sample_form","prep_form","environment"
"Merluccius_merluccius",30,"Selenium",65,NA,10,"muscle","wet","marine"
"Scomber_scombrus",118,"Selenium",208,NA,26,"muscle","wet","marine"
"Scomber_scombrus",118,"Zinc",0.809,11,NA,"muscle","wet","marine"
"Scomber_scombrus",118,"Selenium",22.4,11,NA,"muscle","wet","marine"
"Merluccius_gayi_gayi",324,"Zinc",0.1787,11,NA,"muscle","wet","marine"
"Merluccius_gayi_gayi",324,"Selenium",13.5,11,NA,"muscle","wet","marine"
"Engraulis_encrasicolus",66,"Zinc",0.7041,11,NA,"muscle","wet","marine"
"Engraulis_encrasicolus",66,"Selenium",6.6,11,NA,"muscle","wet","marine"
"Lophius_piscatorius",716,"Zinc",0.1249,11,NA,"muscle","wet","marine"
"Lophius_piscatorius",716,"Selenium",16.9,11,NA,"muscle","wet","marine"
"Prionace_glauca",898,"Zinc",0.1952,11,NA,"muscle","wet","marine"
"Prionace_glauca",898,"Selenium",10.2,11,NA,"muscle","wet","marine"
"Micromesistius_poutassou",31,"Zinc",0.4523,11,NA,"muscle","wet","marine"
"Micromesistius_poutassou",31,"Selenium",4.7,11,NA,"muscle","wet","marine"
"Galeus_melastomus",807,"Zinc",0.3421,11,NA,"muscle","wet","marine"
"Galeus_melastomus",807,"Selenium",7.7,11,NA,"muscle","wet","marine"
"Solea_solea",525,"Zinc",0.4096,11,NA,"muscle","wet","marine"
"Solea_solea",525,"Selenium",12.1,11,NA,"muscle","wet","marine"
"Merluccius_merluccius",30,"Zinc",0.2833,11,NA,"muscle","wet","marine"
"Merluccius_merluccius",30,"Selenium",10.9,11,NA,"muscle","wet","marine"
"Dicentrarchus_labrax",63,"Zinc",0.149,11,NA,"muscle","wet","marine"
"Dicentrarchus_labrax",63,"Selenium",5.7,11,NA,"muscle","wet","marine"
"Sparus_aurata",1164,"Zinc",0.1939,11,NA,"muscle","wet","marine"
"Sparus_aurata",1164,"Selenium",0.4,11,NA,"muscle","wet","marine"
"Lepidorhombus_boscii",27,"Zinc",0.395,11,NA,"muscle","wet","marine"
"Lepidorhombus_boscii",27,"Selenium",14,11,NA,"muscle","wet","marine"
"Mullus_surmuletus",1327,"Zinc",0.1872,11,NA,"muscle","wet","marine"
"Mullus_surmuletus",1327,"Selenium",3,11,NA,"muscle","wet","marine"
"Salmo_salar",236,"Zinc",0.2217,11,NA,"muscle","wet","marine"
"Salmo_salar",236,"Selenium",16.1,11,NA,"muscle","wet","marine"
"Sardina_pilchardus",1350,"Zinc",1.1581,11,NA,"muscle","wet","marine"
"Sardina_pilchardus",1350,"Selenium",27.9,11,NA,"muscle","wet","marine"
"Trachurus_trachurus",1365,"Zinc",1.4091,11,NA,"muscle","wet","marine"
"Trachurus_trachurus",1365,"Selenium",34.6,11,NA,"muscle","wet","marine"
"Xiphias_gladius",226,"Zinc",0.5637,11,NA,"muscle","wet","marine"
"Xiphias_gladius",226,"Selenium",49.4,11,NA,"muscle","wet","marine"
"Thunnus_thynnus",147,"Zinc",0.2145,11,NA,"muscle","wet","marine"
"Thunnus_thynnus",147,"Selenium",56.7,11,NA,"muscle","wet","marine"
"Balistes_capriscus",7327,"Omega_3",0.166167,12,0.004292,"muscle","wet","marine"
"Balistes_capriscus",7327,"Omega_3",0.242505,8,0.005865,"muscle","wet","marine"
"Balistes_capriscus",7327,"Omega_3",0.324954,8,0.002583,"muscle","wet","marine"
"Balistes_capriscus",7327,"Omega_3",0.20799,8,0.00621,"muscle","wet","marine"
"Balistes_capriscus",7327,"Omega_3",0.19288,8,0.00308,"muscle","wet","marine"
"Balistes_capriscus",7327,"Omega_3",0.202831,8,0.001978,"muscle","wet","marine"
"Clupea_harengus",24,"Omega_3",1.119549495,10,0.12644587,"whole","wet","marine"
"Clupea_harengus",24,"Omega_3",1.6983124,10,0.36724528,"whole","wet","marine"
"Clupea_harengus",24,"Omega_3",1.001071622,10,0.366675112,"whole","wet","marine"
"Clupea_harengus",24,"Omega_3",1.50501819,10,0.17445857,"whole","wet","marine"
"Clupea_harengus",24,"Omega_3",1.787530432,10,0.236955899,"whole","wet","marine"
"Aphanopus_carbo",646,"Zinc",0.5,1,0.09,"muscle","wet","marine"
"Aphanopus_carbo",646,"Calcium",14,1,4.21,"muscle","wet","marine"
"Aphanopus_carbo",646,"Iron",0.1,1,0.03,"muscle","wet","marine"
