"","species","SpecCode","Order","Family","DemersPelag","DepthRangeDeep","BodyShapeI","Lmax","EnvTemp","TL","K","tm","Habitat","Pelagic"
"1","Ctenopharyngodon idella",79,"Cypriniformes","Cyprinidae","demersal",30,"fusiform",150,"tropical",2,0.16,3.8,"Freshwater",0
"2","Abramis brama",268,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",82,"temperate",3.05,0.17,3.9,"Freshwater",0
"3","Rutilus frisii",8416,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",70,"temperate",3.4,0.41,1.6,"Freshwater",0
"4","Prochilodus nigricans",11894,"Characiformes","Prochilodontidae","benthopelagic",NA,"fusiform",45,"tropical",2.38,0.4225,1.9,"Freshwater",0
"5","Plagioscion squamosissimus",4310,"Perciformes","Sciaenidae","benthopelagic",NA,"fusiform",80,"tropical",4.35,0.11,5.6,"Freshwater",0
"6","Pseudoplatystoma punctifer",68633,"Siluriformes","Pimelodidae","demersal",NA,"elongate",70,"tropical",4.33,0.17,7.5,"Freshwater",0
"7","Potamorhina altamazonica",25648,"Characiformes","Curimatidae","benthopelagic",NA,"fusiform",27,"tropical",2,0.396877216656436,1.92829469744829,"Freshwater",0
"8","Hypophthalmus edentatus",4533,"Siluriformes","Pimelodidae","pelagic",37,"elongate",57.5,"tropical",2.91,0.21,3.1,"Freshwater",1
"9","Calophysus macropterus",12115,"Siluriformes","Pimelodidae","demersal",NA,"elongate",40,"tropical",3.18,0.42,1.7,"Brackish",0
"10","Triportheus angulatus",12976,"Characiformes","Triportheidae","benthopelagic",5,"fusiform",23.8,"tropical",2.68,0.396877216656436,1.92829469744829,"Brackish",0
"11","Pseudoplatystoma tigrinum",8695,"Siluriformes","Pimelodidae","demersal",NA,"elongate",130,"tropical",4.4,0.2,3,"Brackish",0
"12","Potamorhina latior",25649,"Characiformes","Curimatidae","benthopelagic",NA,"fusiform",24,"tropical",2,0.396877216656436,1.92829469744829,"Freshwater",0
"13","Anodus elongatus",51222,"Characiformes","Hemiodontidae","pelagic",NA,"elongate",30.3,"tropical",3.4,0.396877216656436,1.92829469744829,"Freshwater",1
