"","source","year","geographic_location_cleaned","hdi","demers_pelag","env_temp","form_clean","species_from_search","family","paper_id","nutrient","value","SpecCode","Order","DemersPelag","DepthRangeDeep","BodyShapeI","Lmax","EnvTemp","TL","K","tm","Habitat","pelagic"
"1","WoS",2014,"India","Medium","benthopelagic","subtropical","muscle","Gibelion catla","Cyprinidae","Mohanty_60","Protein",16.2,4439,"Cypriniformes","benthopelagic",NA,"fusiform",182,"tropical",2.8,0.307,1.82318044592642,"Freshwater",0
"2","WoS",2014,"India","Medium","benthopelagic","tropical","muscle","Labeo rohita","Cyprinidae","Mohanty_60","Protein",15.9,82,"Cypriniformes","benthopelagic",NA,"fusiform",200,"tropical",2.19,0.329,2.67940205773826,"Freshwater",0
"3","WoS",2014,"India","Medium","benthopelagic","tropical","muscle","Cirrhinus cirrhosus","Cyprinidae","Mohanty_60","Protein",15.5,4494,"Cypriniformes","benthopelagic",NA,"fusiform",100,"tropical",2.4,0.165666666666667,3.60207854390409,"Freshwater",0
"4","WoS",2014,"India","Medium","demersal","tropical","muscle","Sperata seenghala","Bagridae","Mohanty_60","Protein",19,10111,"Siluriformes","demersal",NA,"elongate",150,"tropical",3.76,0.222132112611974,2.70628434183768,"Freshwater",0
"5","WoS",2014,"India","Medium","demersal","tropical","muscle","Clarias batrachus","Clariidae","Mohanty_60","Protein",16.4,3054,"Siluriformes","demersal",NA,"elongate",47,"tropical",3.42,0.71,1,"Brackish",0
"6","WoS",2014,"India","Medium","demersal","tropical","muscle","Heteropneustes fossilis","Heteropneustidae","Mohanty_60","Protein",16.3,4885,"Siluriformes","demersal",1,"elongate",31,"tropical",3.59,0.9225,0.999004340254329,"Brackish",0
"7","WoS",2014,"India","Medium","demersal","tropical","muscle","Anabas testudineus","Anabantidae","Mohanty_60","Protein",16.9,495,"Perciformes","demersal",NA,"fusiform",25,"tropical",2.98,1.4,0.941488902787622,"Mixed",0
"8","WoS",2014,"India","Medium","benthopelagic","tropical","muscle","Puntius sophore","Cyprinidae","Mohanty_60","Protein",16.3,10137,"Cypriniformes","benthopelagic",NA,"fusiform",20,"tropical",2.63,1.16272727272727,0.568682689613082,"Mixed",0
"9","WoS",2014,"India","Medium","benthopelagic","subtropical","muscle","Oncorhynchus mykiss","Salmonidae","Mohanty_60","Protein",17.2,239,"Salmoniformes","benthopelagic",200,"fusiform",122,"temperate",4.08,0.535857142857143,2.16263619371283,"Freshwater",0
"10","WoS",2014,"India","Medium","benthopelagic",NA,"muscle","Cyprinus carpio","Cyprinidae","Mohanty_60","Protein",17.2,1450,"Cypriniformes","benthopelagic",NA,"fusiform",120,"tropical",3.38,0.294132075471698,2.57792093024835,"Freshwater",0
"11","WoS",2014,"India","Medium","pelagic-neritic","tropical","muscle","Tenualosa ilisha","Clupidae","Mohanty_60","Protein",20.7,1596,"Clupeiformes","pelagic_neritic",200,"fusiform",60,"tropical",2.89,0.952666666666667,1.32164793790431,"Brackish",1
"12","WoS",2014,"India","Medium","benthopelagic","tropical","muscle","Amblypharyngodon mola","Cyprinidae","Mohanty_60","Protein",16.3,24301,"Cypriniformes","benthopelagic",NA,"fusiform",20,"tropical",3.25,0.14,0.82793667618315,"Brackish",0
"13","WoS",2014,"India","Medium","benthopelagic","subtropical","muscle","Tor putitora","Cyprinidae","Mohanty_60","Protein",17,9194,"Cypriniformes","benthopelagic",NA,"fusiform",275,"subtropical",2.87,0.07,3.87121626726734,"Freshwater",0
"14","WoS",2014,"India","Medium","demersal","tropical","muscle","Schizothorax richardsonii","Cyprinidae","Mohanty_60","Protein",16.3,8705,"Cypriniformes","demersal",NA,"fusiform",60,"subtropical",2,0.292563554606402,1.82318044592642,"Freshwater",0
"15","WoS",2014,"India","Medium","benthopelagic","tropical","muscle","Neolissochilus hexagonolepis","Cyprinidae","Mohanty_60","Protein",18.2,12125,"Cypriniformes","benthopelagic",NA,"fusiform",120,"subtropical",3,0.292563554606402,1.82318044592642,"Freshwater",0
"16","WoS",2012,"Malaysia","High","benthopelagic","tropical","muscle","Channa striata","Channidae","Marimuthu_52","Protein",13.9,343,"Perciformes","benthopelagic",10,"elongate",100,"tropical",3.36,0.357,1.844633865966,"Freshwater",0
"17","WoS",2012,"Malaysia","High","benthopelagic","tropical","muscle","Channa striata","Channidae","Marimuthu_52","Zinc",0.51,343,"Perciformes","benthopelagic",10,"elongate",100,"tropical",3.36,0.357,1.844633865966,"Freshwater",0
"18","WoS",2012,"Malaysia","High","benthopelagic","tropical","muscle","Channa striata","Channidae","Marimuthu_52","Calcium",29,343,"Perciformes","benthopelagic",10,"elongate",100,"tropical",3.36,0.357,1.844633865966,"Freshwater",0
"19","WoS",2012,"Malaysia","High","benthopelagic","tropical","muscle","Channa striata","Channidae","Marimuthu_52","Iron",0.64,343,"Perciformes","benthopelagic",10,"elongate",100,"tropical",3.36,0.357,1.844633865966,"Freshwater",0
"20","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mastacembelus armatus","Mastacembelidae","Bogard_12","Protein",17.9,10140,"Synbranchiformes","demersal",NA,"elongate",90,"tropical",2.78,0.249363225343264,2.81317478563042,"Freshwater",0
"21","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mastacembelus armatus","Mastacembelidae","Bogard_12","Zinc",1.1,10140,"Synbranchiformes","demersal",NA,"elongate",90,"tropical",2.78,0.249363225343264,2.81317478563042,"Freshwater",0
"22","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mastacembelus armatus","Mastacembelidae","Bogard_12","Calcium",449,10140,"Synbranchiformes","demersal",NA,"elongate",90,"tropical",2.78,0.249363225343264,2.81317478563042,"Freshwater",0
"23","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mastacembelus armatus","Mastacembelidae","Bogard_12","Iron",1.9,10140,"Synbranchiformes","demersal",NA,"elongate",90,"tropical",2.78,0.249363225343264,2.81317478563042,"Freshwater",0
"24","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mastacembelus armatus","Mastacembelidae","Bogard_12","Selenium",12,10140,"Synbranchiformes","demersal",NA,"elongate",90,"tropical",2.78,0.249363225343264,2.81317478563042,"Freshwater",0
"25","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mastacembelus armatus","Mastacembelidae","Bogard_12","Vitamin A",27,10140,"Synbranchiformes","demersal",NA,"elongate",90,"tropical",2.78,0.249363225343264,2.81317478563042,"Freshwater",0
"26","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Glossogobius giuris","Gobiidae","Bogard_12","Protein",16.6,4833,"Perciformes","benthopelagic",5,"fusiform",50,"tropical",3.66,0.778,0.903706419230741,"Brackish",0
"27","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Glossogobius giuris","Gobiidae","Bogard_12","Zinc",2.1,4833,"Perciformes","benthopelagic",5,"fusiform",50,"tropical",3.66,0.778,0.903706419230741,"Brackish",0
"28","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Glossogobius giuris","Gobiidae","Bogard_12","Calcium",790,4833,"Perciformes","benthopelagic",5,"fusiform",50,"tropical",3.66,0.778,0.903706419230741,"Brackish",0
"29","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Glossogobius giuris","Gobiidae","Bogard_12","Iron",2.3,4833,"Perciformes","benthopelagic",5,"fusiform",50,"tropical",3.66,0.778,0.903706419230741,"Brackish",0
"30","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Glossogobius giuris","Gobiidae","Bogard_12","Selenium",31,4833,"Perciformes","benthopelagic",5,"fusiform",50,"tropical",3.66,0.778,0.903706419230741,"Brackish",0
"31","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Glossogobius giuris","Gobiidae","Bogard_12","Vitamin A",18,4833,"Perciformes","benthopelagic",5,"fusiform",50,"tropical",3.66,0.778,0.903706419230741,"Brackish",0
"32","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Trichogaster fasciata","Gourami","Bogard_12","Protein",15.2,4770,"Perciformes","benthopelagic",NA,"short_deep",12.5,"tropical",3.06,0.9,1.0023666947419,"Freshwater",0
"33","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Trichogaster fasciata","Gourami","Bogard_12","Zinc",2.3,4770,"Perciformes","benthopelagic",NA,"short_deep",12.5,"tropical",3.06,0.9,1.0023666947419,"Freshwater",0
"34","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Trichogaster fasciata","Gourami","Bogard_12","Calcium",1700,4770,"Perciformes","benthopelagic",NA,"short_deep",12.5,"tropical",3.06,0.9,1.0023666947419,"Freshwater",0
"35","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Trichogaster fasciata","Gourami","Bogard_12","Iron",4.1,4770,"Perciformes","benthopelagic",NA,"short_deep",12.5,"tropical",3.06,0.9,1.0023666947419,"Freshwater",0
"36","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Trichogaster fasciata","Gourami","Bogard_12","Selenium",26,4770,"Perciformes","benthopelagic",NA,"short_deep",12.5,"tropical",3.06,0.9,1.0023666947419,"Freshwater",0
"37","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Trichogaster fasciata","Gourami","Bogard_12","Vitamin A",46,4770,"Perciformes","benthopelagic",NA,"short_deep",12.5,"tropical",3.06,0.9,1.0023666947419,"Freshwater",0
"38","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Parambassis ranga","Ambassidae","Bogard_12","Protein",15.5,10130,"Perciformes","demersal",NA,"short_deep",8,"tropical",3.27,0.616666666666667,0.947271399466143,"Freshwater",0
"39","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Parambassis ranga","Ambassidae","Bogard_12","Zinc",2.6,10130,"Perciformes","demersal",NA,"short_deep",8,"tropical",3.27,0.616666666666667,0.947271399466143,"Freshwater",0
"40","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Parambassis ranga","Ambassidae","Bogard_12","Calcium",1153,10130,"Perciformes","demersal",NA,"short_deep",8,"tropical",3.27,0.616666666666667,0.947271399466143,"Freshwater",0
"41","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Parambassis ranga","Ambassidae","Bogard_12","Iron",2.1,10130,"Perciformes","demersal",NA,"short_deep",8,"tropical",3.27,0.616666666666667,0.947271399466143,"Freshwater",0
"42","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Parambassis ranga","Ambassidae","Bogard_12","Selenium",22,10130,"Perciformes","demersal",NA,"short_deep",8,"tropical",3.27,0.616666666666667,0.947271399466143,"Freshwater",0
"43","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Parambassis ranga","Ambassidae","Bogard_12","Vitamin A",336,10130,"Perciformes","demersal",NA,"short_deep",8,"tropical",3.27,0.616666666666667,0.947271399466143,"Freshwater",0
"44","WoS",2015,"Bangladesh","Medium","pelagic","subtropical","whole","Gudusia chapra","Clupeidae","Bogard_12","Protein",15.5,1601,"Clupeiformes","pelagic",NA,"fusiform",20,"tropical",3.12,1.29333333333333,1.19487854411039,"Freshwater",1
"45","WoS",2015,"Bangladesh","Medium","pelagic","subtropical","whole","Gudusia chapra","Clupeidae","Bogard_12","Zinc",2.1,1601,"Clupeiformes","pelagic",NA,"fusiform",20,"tropical",3.12,1.29333333333333,1.19487854411039,"Freshwater",1
"46","WoS",2015,"Bangladesh","Medium","pelagic","subtropical","whole","Gudusia chapra","Clupeidae","Bogard_12","Calcium",1063,1601,"Clupeiformes","pelagic",NA,"fusiform",20,"tropical",3.12,1.29333333333333,1.19487854411039,"Freshwater",1
"47","WoS",2015,"Bangladesh","Medium","pelagic","subtropical","whole","Gudusia chapra","Clupeidae","Bogard_12","Iron",7.6,1601,"Clupeiformes","pelagic",NA,"fusiform",20,"tropical",3.12,1.29333333333333,1.19487854411039,"Freshwater",1
"48","WoS",2015,"Bangladesh","Medium","pelagic","subtropical","whole","Gudusia chapra","Clupeidae","Bogard_12","Selenium",13.4,1601,"Clupeiformes","pelagic",NA,"fusiform",20,"tropical",3.12,1.29333333333333,1.19487854411039,"Freshwater",1
"49","WoS",2015,"Bangladesh","Medium","pelagic","subtropical","whole","Gudusia chapra","Clupeidae","Bogard_12","Vitamin A",73,1601,"Clupeiformes","pelagic",NA,"fusiform",20,"tropical",3.12,1.29333333333333,1.19487854411039,"Freshwater",1
"50","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Chela cachius","Cyprinidae","Bogard_12","Protein",15.2,13220,"Cypriniformes","benthopelagic",NA,"fusiform",9.6,"tropical",3.17,0.292563554606402,1.82318044592642,"Freshwater",0
"51","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Chela cachius","Cyprinidae","Bogard_12","Zinc",4.7,13220,"Cypriniformes","benthopelagic",NA,"fusiform",9.6,"tropical",3.17,0.292563554606402,1.82318044592642,"Freshwater",0
"52","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Chela cachius","Cyprinidae","Bogard_12","Calcium",1000,13220,"Cypriniformes","benthopelagic",NA,"fusiform",9.6,"tropical",3.17,0.292563554606402,1.82318044592642,"Freshwater",0
"53","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Chela cachius","Cyprinidae","Bogard_12","Iron",0.84,13220,"Cypriniformes","benthopelagic",NA,"fusiform",9.6,"tropical",3.17,0.292563554606402,1.82318044592642,"Freshwater",0
"54","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Chela cachius","Cyprinidae","Bogard_12","Selenium",32,13220,"Cypriniformes","benthopelagic",NA,"fusiform",9.6,"tropical",3.17,0.292563554606402,1.82318044592642,"Freshwater",0
