CONCERNS,Search,OLD ID#,Fiorella data ID#,FAO - ID,FAO - biblio ID,IN FAO or Fiorella?,# data points,ID#,Source,journal,Year,Geographic_location,Geographic Location - Cleaned,HDI,DemersPelag,EnvTemp,Form,Form - Clean,Season,SeasonCL,Species_from_search,Family,Matt - Comments,not sure,Other Info - INFOODS ONLY,DW protein,DW minerals,DW vitamins,DW FA,Ambig Protein,Ambig Minerals,Ambig Vitamins,Ambig FA,Protein - Sample Weight,Protein - Replicates,Protein - Value,Protein - Variance,Protein - Unit,PrRel,PrSt,Zn - Sample Weight,Zn - Replicates,Zn - Value,Zn - Variance,Zn - Unit,ZnRel,ZnSt,Ca - Sample Weight,Ca - Replicates,Ca - Value,Ca - Variance,Ca - Unit,CaRel,CaSt,Fe - Sample Weight,Fe - Replicates,Fe - Value,Fe - Variance,Fe - Unit,FeRel,FeSt,Se - Sample Weight,Se - Replicates,Se - Value,Se - Variance,Se - Unit,SeRel,SeSt,P - Sample Weight,P - Replicates,P - Value,P - Variance,P - Unit,PRel,PSt,Mg - Sample Weight,Mg - Replicates,Mg - Value,Mg - Variance,Mg - Unit,MgRel,MgSt,Potential mixup with N3.6_PUFA,Potential mixup with Vitamin A (1=does not clearly state total vitamin A),VitA - Sample Weight,VitA - Replicates,VitA - Value,VitA - Variance,VitA - Unit,VitARel,VitASt,VitB12 - Sample Weight,VitB12 - Replicates,VitB12 - Value,VitB12 - Variance,VitB12 - Unit,VitB12Rel,VitB12St,PUFA - Sample Weight,PUFA - Replicates,PUFA - Reported Value,PUFA - Value,PUFA - Variance,PUFA - Unit,PUFARel,PUFASt,EPA - Sample Weight,EPA - Replicates,EPA - Reported Value,EPA - Value,EPA - Variance,EPA - Unit,EPARel,EPASt,DHA - Sample Weight,DHA - Replicates,DHA - Reported Value,DHA - Value,DHA - Variance,DHA - Unit,DHARel,DHASt,O3 - Sample Weight,O3 - Replicates,n.3 - Reported Value,O3 - Value,O3 - Variance,O3 - Unit,O3Rel,O3St,O6 - Sample Weight,O6 - Replicates,n.6 - Reported Value,O6 - Value,O6 - Variance,O6 - Unit,O6Rel,O6St,Count,,,,,,
,WOS/Scopus,A_17,,,,,,A_1,"Mohanty, Bimal; Mahanty, Arabinda; Ganguly, Satabdi; Sankar, T V; Chakraborty, Kajal; Rangasamy, Anandan; Paul, Baidyanath; Sarma, Debajit; Mathew, Suseela; Asha, Kurukkan Kunnath; Behera, Bijay; Aftabuddin, Md; Debnath, Dipesh; Vijayagopal, P; Sridhar, N; Akhtar, M S; Sahi, Neetu; Mitra, Tandrima; Banerjee, Sudeshna; Paria, Prasenjit; Das, Debajeet; Das, Pushpita; Vijayan, K K; Laxmanan, P T; Sharma, A P",Journal of amino acids,2014,India,India,Medium,benthopelagic,subtropical,muscle,muscle,,,Gibelion catla,Cyprinidae,"A) Fishes were cleaned, descaled, degutted, minced, and homogenized B) Freshly caught fishes were collected from either the landing centers or the local fish markets",,,,,,,,,,,,3,16.2,0.5,%,16.2,0.281569966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A) Protein composition values expressed as mean % + SE of three replicates (using Kjeldahl method). Although the manuscript never explicity says wet weight for the protein readings, we can infer it is wet weight because of the method used",,,,,
,WOS/Scopus,A_18,,,,,,A_2,"Mohanty, Bimal; Mahanty, Arabinda; Ganguly, Satabdi; Sankar, T V; Chakraborty, Kajal; Rangasamy, Anandan; Paul, Baidyanath; Sarma, Debajit; Mathew, Suseela; Asha, Kurukkan Kunnath; Behera, Bijay; Aftabuddin, Md; Debnath, Dipesh; Vijayagopal, P; Sridhar, N; Akhtar, M S; Sahi, Neetu; Mitra, Tandrima; Banerjee, Sudeshna; Paria, Prasenjit; Das, Debajeet; Das, Pushpita; Vijayan, K K; Laxmanan, P T; Sharma, A P",Journal of amino acids,2014,India,India,Medium,benthopelagic,tropical,muscle,muscle,,,Labeo rohita,Cyprinidae,"A) Fishes were cleaned, descaled, degutted, minced, and homogenized B) Freshly caught fishes were collected from either the landing centers or the local fish markets",,,,,,,,,,,,3,15.9,0.4,%,15.9,0.255972696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A) Protein composition values expressed as mean % + SE of three replicates (using Kjeldahl method). Although the manuscript never explicity says wet weight for the protein readings, we can infer it is wet weight because of the method used",,,,,
,WOS/Scopus,A_19,,,,,,A_3,"Mohanty, Bimal; Mahanty, Arabinda; Ganguly, Satabdi; Sankar, T V; Chakraborty, Kajal; Rangasamy, Anandan; Paul, Baidyanath; Sarma, Debajit; Mathew, Suseela; Asha, Kurukkan Kunnath; Behera, Bijay; Aftabuddin, Md; Debnath, Dipesh; Vijayagopal, P; Sridhar, N; Akhtar, M S; Sahi, Neetu; Mitra, Tandrima; Banerjee, Sudeshna; Paria, Prasenjit; Das, Debajeet; Das, Pushpita; Vijayan, K K; Laxmanan, P T; Sharma, A P",Journal of amino acids,2014,India,India,Medium,benthopelagic,tropical,muscle,muscle,,,Cirrhinus cirrhosus,Cyprinidae,"A) Fishes were cleaned, descaled, degutted, minced, and homogenized B) Freshly caught fishes were collected from either the landing centers or the local fish markets",,,,,,,,,,,,3,15.5,0.5,%,15.5,0.221843003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A) Protein composition values expressed as mean % + SE of three replicates (using Kjeldahl method). Although the manuscript never explicity says wet weight for the protein readings, we can infer it is wet weight because of the method used",,,,,
,WOS/Scopus,A_20,,,,,,A_4,"Mohanty, Bimal; Mahanty, Arabinda; Ganguly, Satabdi; Sankar, T V; Chakraborty, Kajal; Rangasamy, Anandan; Paul, Baidyanath; Sarma, Debajit; Mathew, Suseela; Asha, Kurukkan Kunnath; Behera, Bijay; Aftabuddin, Md; Debnath, Dipesh; Vijayagopal, P; Sridhar, N; Akhtar, M S; Sahi, Neetu; Mitra, Tandrima; Banerjee, Sudeshna; Paria, Prasenjit; Das, Debajeet; Das, Pushpita; Vijayan, K K; Laxmanan, P T; Sharma, A P",Journal of amino acids,2014,India,India,Medium,demersal,tropical,muscle,muscle,,,Sperata seenghala,Bagridae,"A) Fishes were cleaned, descaled, degutted, minced, and homogenized B) Freshly caught fishes were collected from either the landing centers or the local fish markets",,,,,,,,,,,,3,19,1.3,%,19,0.520477816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A) Protein composition values expressed as mean % + SE of three replicates (using Kjeldahl method). Although the manuscript never explicity says wet weight for the protein readings, we can infer it is wet weight because of the method used",,,,,
,WOS/Scopus,A_21,,,,,,A_5,"Mohanty, Bimal; Mahanty, Arabinda; Ganguly, Satabdi; Sankar, T V; Chakraborty, Kajal; Rangasamy, Anandan; Paul, Baidyanath; Sarma, Debajit; Mathew, Suseela; Asha, Kurukkan Kunnath; Behera, Bijay; Aftabuddin, Md; Debnath, Dipesh; Vijayagopal, P; Sridhar, N; Akhtar, M S; Sahi, Neetu; Mitra, Tandrima; Banerjee, Sudeshna; Paria, Prasenjit; Das, Debajeet; Das, Pushpita; Vijayan, K K; Laxmanan, P T; Sharma, A P",Journal of amino acids,2014,India,India,Medium,demersal,tropical,muscle,muscle,,,Clarias batrachus,Clariidae,"A) Fishes were cleaned, descaled, degutted, minced, and homogenized B) Freshly caught fishes were collected from either the landing centers or the local fish markets",,,,,,,,,,,,3,16.4,0.3,%,16.4,0.298634812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A) Protein composition values expressed as mean % + SE of three replicates (using Kjeldahl method). Although the manuscript never explicity says wet weight for the protein readings, we can infer it is wet weight because of the method used",,,,,
,WOS/Scopus,A_22,,,,,,A_6,"Mohanty, Bimal; Mahanty, Arabinda; Ganguly, Satabdi; Sankar, T V; Chakraborty, Kajal; Rangasamy, Anandan; Paul, Baidyanath; Sarma, Debajit; Mathew, Suseela; Asha, Kurukkan Kunnath; Behera, Bijay; Aftabuddin, Md; Debnath, Dipesh; Vijayagopal, P; Sridhar, N; Akhtar, M S; Sahi, Neetu; Mitra, Tandrima; Banerjee, Sudeshna; Paria, Prasenjit; Das, Debajeet; Das, Pushpita; Vijayan, K K; Laxmanan, P T; Sharma, A P",Journal of amino acids,2014,India,India,Medium,demersal,tropical,muscle,muscle,,,Heteropneustes fossilis,Heteropneustidae,"A) Fishes were cleaned, descaled, degutted, minced, and homogenized B) Freshly caught fishes were collected from either the landing centers or the local fish markets",,,,,,,,,,,,3,16.3,0.4,%,16.3,0.290102389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A) Protein composition values expressed as mean % + SE of three replicates (using Kjeldahl method). Although the manuscript never explicity says wet weight for the protein readings, we can infer it is wet weight because of the method used",,,,,
,WOS/Scopus,A_23,,,,,,A_7,"Mohanty, Bimal; Mahanty, Arabinda; Ganguly, Satabdi; Sankar, T V; Chakraborty, Kajal; Rangasamy, Anandan; Paul, Baidyanath; Sarma, Debajit; Mathew, Suseela; Asha, Kurukkan Kunnath; Behera, Bijay; Aftabuddin, Md; Debnath, Dipesh; Vijayagopal, P; Sridhar, N; Akhtar, M S; Sahi, Neetu; Mitra, Tandrima; Banerjee, Sudeshna; Paria, Prasenjit; Das, Debajeet; Das, Pushpita; Vijayan, K K; Laxmanan, P T; Sharma, A P",Journal of amino acids,2014,India,India,Medium,demersal,tropical,muscle,muscle,,,Anabas testudineus,Anabantidae,"A) Fishes were cleaned, descaled, degutted, minced, and homogenized B) Freshly caught fishes were collected from either the landing centers or the local fish markets",,,,,,,,,,,,3,16.9,0.5,%,16.9,0.341296928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A) Protein composition values expressed as mean % + SE of three replicates (using Kjeldahl method). Although the manuscript never explicity says wet weight for the protein readings, we can infer it is wet weight because of the method used",,,,,
,WOS/Scopus,A_24,,,,,,A_8,"Mohanty, Bimal; Mahanty, Arabinda; Ganguly, Satabdi; Sankar, T V; Chakraborty, Kajal; Rangasamy, Anandan; Paul, Baidyanath; Sarma, Debajit; Mathew, Suseela; Asha, Kurukkan Kunnath; Behera, Bijay; Aftabuddin, Md; Debnath, Dipesh; Vijayagopal, P; Sridhar, N; Akhtar, M S; Sahi, Neetu; Mitra, Tandrima; Banerjee, Sudeshna; Paria, Prasenjit; Das, Debajeet; Das, Pushpita; Vijayan, K K; Laxmanan, P T; Sharma, A P",Journal of amino acids,2014,India,India,Medium,benthopelagic,tropical,muscle,muscle,,,Puntius sophore,Cyprinidae,"A) Fishes were cleaned, descaled, degutted, minced, and homogenized B) Freshly caught fishes were collected from either the landing centers or the local fish markets",,,,,,,,,,,,3,16.3,0.8,%,16.3,0.290102389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A) Protein composition values expressed as mean % + SE of three replicates (using Kjeldahl method). Although the manuscript never explicity says wet weight for the protein readings, we can infer it is wet weight because of the method used",,,,,
,WOS/Scopus,A_25,,,,,,A_9,"Mohanty, Bimal; Mahanty, Arabinda; Ganguly, Satabdi; Sankar, T V; Chakraborty, Kajal; Rangasamy, Anandan; Paul, Baidyanath; Sarma, Debajit; Mathew, Suseela; Asha, Kurukkan Kunnath; Behera, Bijay; Aftabuddin, Md; Debnath, Dipesh; Vijayagopal, P; Sridhar, N; Akhtar, M S; Sahi, Neetu; Mitra, Tandrima; Banerjee, Sudeshna; Paria, Prasenjit; Das, Debajeet; Das, Pushpita; Vijayan, K K; Laxmanan, P T; Sharma, A P",Journal of amino acids,2014,India,India,Medium,benthopelagic,subtropical,muscle,muscle,,,Oncorhynchus mykiss,Salmonidae,"A) Fishes were cleaned, descaled, degutted, minced, and homogenized B) Freshly caught fishes were collected from either the landing centers or the local fish markets",,,,,,,,,,,,3,17.2,0,%,17.2,0.366894198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A) Protein composition values expressed as mean % + SE of three replicates (using Kjeldahl method). Although the manuscript never explicity says wet weight for the protein readings, we can infer it is wet weight because of the method used",,,,,
,WOS/Scopus,A_26,,,,,,A_10,"Mohanty, Bimal; Mahanty, Arabinda; Ganguly, Satabdi; Sankar, T V; Chakraborty, Kajal; Rangasamy, Anandan; Paul, Baidyanath; Sarma, Debajit; Mathew, Suseela; Asha, Kurukkan Kunnath; Behera, Bijay; Aftabuddin, Md; Debnath, Dipesh; Vijayagopal, P; Sridhar, N; Akhtar, M S; Sahi, Neetu; Mitra, Tandrima; Banerjee, Sudeshna; Paria, Prasenjit; Das, Debajeet; Das, Pushpita; Vijayan, K K; Laxmanan, P T; Sharma, A P",Journal of amino acids,2014,India,India,Medium,benthopelagic,#N/A,muscle,muscle,,,Cyprinus carpio,Cyprinidae,"A) Fishes were cleaned, descaled, degutted, minced, and homogenized B) Freshly caught fishes were collected from either the landing centers or the local fish markets",,,,,,,,,,,,3,17.2,0.2,%,17.2,0.366894198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A) Protein composition values expressed as mean % + SE of three replicates (using Kjeldahl method). Although the manuscript never explicity says wet weight for the protein readings, we can infer it is wet weight because of the method used",,,,,
