,Search,Year,GeographicLocation_Cleaned,DemersPelag,Form_Clean,Species_from_search,Family,Order,DepthRangeDeep,BodyShapeI,LMax,EnvTemp,trophic_level,K,tm,nutrient,nutvalue,Habitat
109,WOS,2009.0,Portugal,pelagic,muscle,Aphanopus_carbo,Trichiuridae,Perciformes,1700.0,elongate,115.4,polar_deep,4.5,0.109999999,5.331634,Calcium,14.0,Marine
110,WOS,2015.0,Bangladesh,benthopelagic,whole_parts,Pampus_argenteus,Stromateidae,Perciformes,110.0,short_deep,60.0,subtropical,3.3,0.449999988,1.631748,Calcium,31.0,Marine
111,WOS,2015.0,Bangladesh,pelagic_neritic,whole_parts,Stolephorus_tri,Engraulidae,Clupeiformes,50.0,fusiform,9.5,tropical,3.233333333,1.029999971,0.8,Calcium,1500.0,Marine
112,WOS,2015.0,Bangladesh,demersal,whole_parts,Johnius_belangerii,Sciaenidae,Perciformes,40.0,fusiform,30.0,tropical,3.27,0.57,1.3,Calcium,1900.0,Marine
113,WOS,2015.0,Bangladesh,pelagic_neritic,whole_parts,Scomberomorus_guttatus,Scombridae,Perciformes,200.0,fusiform,76.0,tropical,4.3,0.340000004,1.9,Calcium,34.0,Marine
114,WOS,2015.0,Bangladesh,reef_associated,whole_parts,Platycephalus_indicus,Platycephalidae,Scorpaeniformes,200.0,elongate,100.0,subtropical,3.6,0.360000014,1.823628,Calcium,150.0,Marine
115,WOS,2015.0,Bangladesh,demersal,whole_parts,Chelon_parsia,Mugilidae,Mugiliformes,10.0,fusiform,43.51578953,tropical,2.609090909,0.287800001,3.02470375,Calcium,66.0,Marine
116,WOS,2015.0,Bangladesh,pelagic_neritic,whole_parts,Eleutheronema_tetradactylum,Polynemidae,Perciformes,23.0,elongate,200.0,tropical,4.1,0.129999995,4.3,Calcium,37.0,Marine
117,WOS,2015.0,Bangladesh,demersal,whole_parts,Sillaginopsis_panijus,Sillaginidae,Perciformes,47.38461538,elongate,44.0,tropical,3.3,0.419999987,1.6,Calcium,230.0,Marine
118,WOS,2015.0,Bangladesh,benthopelagic,whole_parts,Glossogobius_giuris,Gobiidae,Perciformes,5.0,fusiform,50.0,tropical,3.66,0.69,1.1,Calcium,790.0,Marine
119,WOS,2015.0,Bangladesh,pelagic_neritic,whole_parts,Hyporhamphus_limbatus,Hemiramphidae,Beloniformes,9.666666667,elongate,35.0,tropical,3.11,0.71,1.0,Calcium,1300.0,Marine
120,WOS,2015.0,Bangladesh,pelagic_neritic,whole,Corica_soborna,Clupeidae,Clupeiformes,20.0,fusiform,4.1,tropical,3.1,2.77,0.4,Calcium,476.0,Marine
121,WOS,2015.0,Bangladesh,pelagic_neritic,whole_parts,Xenentodon_cancila,Belonidae,Beloniformes,2.0,elongate,40.0,tropical,3.86,0.43,1.6,Calcium,610.0,Marine
122,WOS,2015.0,Bangladesh,demersal,whole_parts,Eleotris_fusca,Eleotridae,Perciformes,5.0,elongate,26.0,tropical,3.79,0.35,2.1,Calcium,980.0,Marine
123,WOS,2015.0,Bangladesh,pelagic_neritic,whole_parts,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,220.0,Marine
124,WOS,2015.0,Bangladesh,pelagic_neritic,whole_parts,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,500.0,Marine
