UniqueID;Data;taxon_key;ScientificName;ScientificName_corrected;Species;Level;Genus;Family;Order;Class;FamCode;GenCode;DemersPelagic;EnvTemp;DepthRangeShallow;DepthRangeDeep;Lmax;BodyShape;Feeding_path;K;tm;trophic_level;DepthRangeDeepLevel;KLevel;tmLevel;trophic_levelLevel;LMaxLevel;BodyShapeILevel;EnvTempLevel
2;SAU;600009;Abalistes stellaris;Abalistes stellaris;Abalistes stellaris;species;Abalistes;Balistidae;Tetraodontiformes;Actinopterygii;445;6790;demersal;tropical;40;100;60;short_deep;benthic;0.21;3.1;3.6;species;species;species;species;species;species;species
878;initial;600972;Ablennes hians;Ablennes hians;Ablennes hians;species;Ablennes;Belonidae;Beloniformes;Actinopterygii;NA;NA;reef_associated;subtropical;;3;140;elongate;pelagic;0.61;0.99;4.5;species;species;species;species;species;species;species
154;SAU;601119;Abudefduf saxatilis;Abudefduf saxatilis;Abudefduf saxatilis;species;Abudefduf;Pomacentridae;Perciformes;Actinopterygii;350;7803;reef_associated;tropical;0;20;22.9;short_deep;pelagic;0.32;2.4;3.8;species;species;species;species;species;species;species
496;SAU;605687;Abudefduf septemfasciatus;Abudefduf septemfasciatus;Abudefduf septemfasciatus;species;Abudefduf;Pomacentridae;Perciformes;Actinopterygii;350;7803;reef_associated;tropical;0;3;23;short_deep;pelagic;0.32;2.3;3;species;species;species;species;species;species;species
497;SAU;605688;Abudefduf sexfasciatus;Abudefduf sexfasciatus;Abudefduf sexfasciatus;species;Abudefduf;Pomacentridae;Perciformes;Actinopterygii;350;7803;reef_associated;tropical;1;20;19;short_deep;pelagic;0.38;2;2.7;species;species;species;species;species;species;species
498;SAU;605689;Abudefduf sordidus;Abudefduf sordidus;Abudefduf sordidus;species;Abudefduf;Pomacentridae;Perciformes;Actinopterygii;350;7803;reef_associated;tropical;0;3;24;short_deep;benthic;0.3;2.5;2.9;species;species;species;species;species;species;species
587;SAU;606630;Abudefduf vaigiensis;Abudefduf vaigiensis;Abudefduf vaigiensis;species;Abudefduf;Pomacentridae;Perciformes;Actinopterygii;350;7803;reef_associated;tropical;1;15;20;short_deep;benthic;0.85;0.9;2.6;species;species;species;species;species;species;species
879;initial;;Acanthaluteres vittiger;Acanthaluteres vittiger;Acanthaluteres vittiger;species;Acanthaluteres;Monacanthidae;Tetraodontiformes;Actinopterygii;NA;NA;demersal;subtropical;;40;35;short_deep;benthic;0.62;1;2;species;family;family;species;species;species;species
880;initial;600351;Acanthistius brasilianus;Acanthistius brasilianus;Acanthistius brasilianus;species;Acanthistius;Serranidae;Perciformes;Actinopterygii;NA;NA;benthopelagic;subtropical;;78;60;fusiform;benthic;0.19;3.5;4;genus;species;species;species;species;species;species
881;initial;;Acanthistius cinctus;Acanthistius cinctus;Acanthistius cinctus;species;Acanthistius;Serranidae;Perciformes;Actinopterygii;NA;NA;reef_associated;temperate;;78;50;fusiform;pelagic;0.24;3.78;4.03;genus;family;family;genus;species;genus;species
