,id_number,source,year,geographic_location_cleaned,hdi,demers_pelag,env_temp,form_clean,species_from_search,family,paper_id,nutrient,value,nut,species_short,species,country_sampled
1,A_1,WoS,2014,India,Medium,benthopelagic,subtropical,muscle,Gibelion catla,Cyprinidae,Mohanty_60,Protein,16.2,protein,G. cat.,Gibelion catla,India
2,A_2,WoS,2014,India,Medium,benthopelagic,tropical,muscle,Labeo rohita,Cyprinidae,Mohanty_60,Protein,15.9,protein,L. roh.,Labeo rohita,India
3,A_3,WoS,2014,India,Medium,benthopelagic,tropical,muscle,Cirrhinus cirrhosus,Cyprinidae,Mohanty_60,Protein,15.5,protein,C. cir.,Cirrhinus cirrhosus,India
4,A_4,WoS,2014,India,Medium,demersal,tropical,muscle,Sperata seenghala,Bagridae,Mohanty_60,Protein,19,protein,S. see.,Sperata seenghala,India
5,A_5,WoS,2014,India,Medium,demersal,tropical,muscle,Clarias batrachus,Clariidae,Mohanty_60,Protein,16.4,protein,C. bat.,Clarias batrachus,India
6,A_6,WoS,2014,India,Medium,demersal,tropical,muscle,Heteropneustes fossilis,Heteropneustidae,Mohanty_60,Protein,16.3,protein,H. fos.,Heteropneustes fossilis,India
7,A_7,WoS,2014,India,Medium,demersal,tropical,muscle,Anabas testudineus,Anabantidae,Mohanty_60,Protein,16.9,protein,A. tes.,Anabas testudineus,India
8,A_8,WoS,2014,India,Medium,benthopelagic,tropical,muscle,Puntius sophore,Cyprinidae,Mohanty_60,Protein,16.3,protein,P. sop.,Puntius sophore,India
9,A_9,WoS,2014,India,Medium,benthopelagic,subtropical,muscle,Oncorhynchus mykiss,Salmonidae,Mohanty_60,Protein,17.2,protein,O. myk.,Oncorhynchus mykiss,India
10,A_10,WoS,2014,India,Medium,benthopelagic,NA,muscle,Cyprinus carpio,Cyprinidae,Mohanty_60,Protein,17.2,protein,C. car.,Cyprinus carpio,India
11,A_11,WoS,2014,India,Medium,pelagic-neritic,tropical,muscle,Tenualosa ilisha,Clupidae,Mohanty_60,Protein,20.7,protein,T. ili.,Tenualosa ilisha,India
12,A_12,WoS,2014,India,Medium,benthopelagic,tropical,muscle,Amblypharyngodon mola,Cyprinidae,Mohanty_60,Protein,16.3,protein,A. mol.,Amblypharyngodon mola,India
13,A_13,WoS,2014,India,Medium,benthopelagic,subtropical,muscle,Tor putitora,Cyprinidae,Mohanty_60,Protein,17,protein,T. put.,Tor putitora,India
14,A_14,WoS,2014,India,Medium,demersal,tropical,muscle,Schizothorax richardsonii,Cyprinidae,Mohanty_60,Protein,16.3,protein,S. ric.,Schizothorax richardsonii,India
15,A_15,WoS,2014,India,Medium,benthopelagic,tropical,muscle,Neolissochilus hexagonolepis,Cyprinidae,Mohanty_60,Protein,18.2,protein,N. hex.,Neolissochilus hexagonolepis,India
