,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept,1.761,0.797,0.21,3.338,0.034,0.037,540.0,230.0,331.0,1104.0,1.07
Cla_nc[0],1.271,0.667,0.005,2.528,0.099,0.071,45.0,45.0,41.0,996.0,1.07
Cla_nc[1],0.348,0.922,-1.224,1.736,0.233,0.168,16.0,16.0,15.0,82.0,1.18
Ord_nc[0],-0.471,0.552,-1.571,0.467,0.048,0.034,131.0,131.0,107.0,1032.0,1.04
Ord_nc[1],0.155,0.726,-0.981,1.513,0.149,0.107,24.0,24.0,25.0,773.0,1.11
Ord_nc[2],0.584,1.144,-1.043,2.894,0.316,0.284,13.0,9.0,18.0,31.0,1.19
Ord_nc[3],0.199,0.744,-1.388,1.647,0.026,0.031,841.0,289.0,758.0,954.0,1.06
Ord_nc[4],0.621,0.951,-0.79,2.436,0.18,0.129,28.0,28.0,30.0,335.0,1.09
Ord_nc[5],-0.019,0.862,-1.401,1.495,0.209,0.15,17.0,17.0,20.0,57.0,1.14
Ord_nc[6],0.012,0.747,-1.547,1.267,0.082,0.058,83.0,83.0,71.0,1176.0,1.05
Ord_nc[7],-0.383,0.755,-1.881,0.998,0.063,0.06,142.0,79.0,159.0,424.0,1.06
Ord_nc[8],0.264,0.845,-1.313,1.86,0.092,0.065,84.0,84.0,94.0,1850.0,1.04
Ord_nc[9],-0.395,0.669,-1.642,0.784,0.08,0.057,69.0,69.0,61.0,85.0,1.1
Ord_nc[10],0.174,0.875,-1.619,1.704,0.078,0.055,127.0,127.0,124.0,889.0,1.05
Ord_nc[11],1.221,0.731,-0.12,2.802,0.039,0.032,355.0,254.0,270.0,636.0,1.11
Ord_nc[12],0.539,0.896,-1.388,1.953,0.058,0.045,241.0,202.0,216.0,1439.0,1.06
Ord_nc[13],-0.602,1.003,-1.964,1.392,0.198,0.141,26.0,26.0,26.0,122.0,1.1
Ord_nc[14],-0.314,0.866,-1.856,1.27,0.112,0.08,59.0,59.0,75.0,1563.0,1.04
Ord_nc[15],-0.026,0.882,-1.709,1.614,0.094,0.067,88.0,88.0,95.0,1544.0,1.1
Ord_nc[16],0.824,0.816,-0.999,2.094,0.067,0.047,149.0,149.0,170.0,1305.0,1.04
Ord_nc[17],-0.037,1.133,-2.373,1.59,0.311,0.245,13.0,11.0,18.0,20.0,1.22
Ord_nc[18],-0.44,1.007,-1.825,1.784,0.228,0.164,19.0,19.0,20.0,18.0,1.13
Ord_nc[19],-0.812,1.156,-2.963,1.054,0.288,0.26,16.0,10.0,17.0,20.0,1.16
Fam_nc[0],0.169,0.871,-1.522,1.796,0.073,0.051,144.0,144.0,129.0,1319.0,1.03
Fam_nc[1],0.126,1.074,-1.678,1.972,0.211,0.151,26.0,26.0,26.0,61.0,1.1
Fam_nc[2],0.451,1.011,-1.332,2.053,0.225,0.175,20.0,17.0,22.0,106.0,1.12
Fam_nc[3],-0.143,0.912,-1.729,1.712,0.054,0.058,283.0,124.0,268.0,1031.0,1.08
Fam_nc[4],-0.41,0.849,-1.715,1.511,0.057,0.04,222.0,222.0,235.0,899.0,1.04
Fam_nc[5],0.345,0.917,-1.684,1.72,0.086,0.061,115.0,115.0,104.0,1582.0,1.04
Fam_nc[6],0.01,0.912,-1.529,1.721,0.117,0.083,61.0,61.0,67.0,1419.0,1.04
Fam_nc[7],-0.439,1.022,-2.136,1.325,0.192,0.182,28.0,16.0,30.0,60.0,1.09
Fam_nc[8],-0.086,0.999,-1.65,1.71,0.179,0.128,31.0,31.0,34.0,307.0,1.08
Fam_nc[9],-0.172,0.907,-1.6,1.633,0.129,0.092,50.0,50.0,58.0,1478.0,1.05
Fam_nc[10],0.052,0.967,-1.608,1.93,0.116,0.083,69.0,69.0,66.0,1502.0,1.04
Fam_nc[11],0.017,0.86,-1.67,1.637,0.06,0.043,203.0,203.0,200.0,1163.0,1.02
Fam_nc[12],0.239,0.914,-1.767,1.652,0.074,0.052,153.0,153.0,173.0,1826.0,1.03
Fam_nc[13],0.233,1.024,-1.562,2.135,0.109,0.077,89.0,89.0,96.0,139.0,1.04
Fam_nc[14],0.304,0.921,-1.659,1.953,0.047,0.061,377.0,113.0,297.0,1240.0,1.12
Fam_nc[15],0.374,1.119,-1.637,2.17,0.26,0.187,19.0,19.0,21.0,30.0,1.15
Fam_nc[16],0.259,1.088,-1.627,2.016,0.243,0.174,20.0,20.0,22.0,190.0,1.13
Fam_nc[17],0.023,0.856,-1.595,1.608,0.095,0.068,80.0,80.0,69.0,1368.0,1.04
Fam_nc[18],-0.389,1.035,-2.091,1.336,0.225,0.171,21.0,19.0,25.0,118.0,1.11
Fam_nc[19],-0.315,0.907,-1.769,1.655,0.096,0.068,89.0,89.0,105.0,1350.0,1.03
Fam_nc[20],-0.02,0.923,-1.9,1.495,0.125,0.089,55.0,55.0,52.0,1129.0,1.06
Fam_nc[21],-0.171,0.981,-2.261,1.445,0.091,0.099,115.0,50.0,141.0,66.0,1.07
Fam_nc[22],0.107,0.948,-1.7,1.637,0.129,0.092,54.0,54.0,64.0,1333.0,1.05
