,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept,0.339,0.796,-1.359,1.66,0.118,0.084,45.0,45.0,46.0,1248.0,1.06
Cla_nc[0],0.011,0.966,-1.802,1.625,0.281,0.204,12.0,12.0,14.0,26.0,1.21
Cla_nc[1],-0.3,0.907,-1.98,1.429,0.116,0.082,62.0,62.0,69.0,1285.0,1.04
Ord_nc[0],-0.437,0.686,-1.985,0.769,0.028,0.021,580.0,557.0,447.0,827.0,1.15
Ord_nc[1],-0.2,0.888,-1.554,1.495,0.208,0.15,18.0,18.0,18.0,299.0,1.15
Ord_nc[2],0.056,0.835,-1.525,1.574,0.035,0.056,559.0,112.0,548.0,1597.0,1.15
Ord_nc[3],0.305,0.934,-1.719,1.938,0.16,0.114,34.0,34.0,37.0,31.0,1.07
Ord_nc[4],0.112,1.151,-1.581,2.436,0.377,0.293,9.0,8.0,11.0,15.0,1.28
Ord_nc[5],-0.625,0.857,-2.318,0.977,0.036,0.05,571.0,150.0,449.0,1650.0,1.1
Ord_nc[6],0.053,0.95,-1.649,1.479,0.235,0.169,16.0,16.0,16.0,447.0,1.18
Ord_nc[7],0.22,0.801,-1.324,1.736,0.025,0.049,993.0,135.0,923.0,1532.0,1.12
Ord_nc[8],0.249,0.909,-1.498,1.989,0.022,0.05,1703.0,168.0,1539.0,2106.0,1.18
Ord_nc[9],-0.008,1.03,-1.842,1.721,0.221,0.158,22.0,22.0,24.0,1400.0,1.11
Ord_nc[10],0.854,0.804,-0.874,2.097,0.064,0.045,158.0,158.0,129.0,409.0,1.05
Ord_nc[11],0.328,0.935,-1.55,1.928,0.046,0.032,417.0,417.0,447.0,1145.0,1.11
Ord_nc[12],-0.571,0.976,-2.361,1.251,0.078,0.085,157.0,66.0,177.0,716.0,1.06
Ord_nc[13],0.43,1.213,-1.46,2.893,0.429,0.394,8.0,5.0,10.0,12.0,1.3
Ord_nc[14],-0.273,0.934,-1.786,1.484,0.154,0.11,37.0,37.0,38.0,2114.0,1.07
Ord_nc[15],0.335,0.885,-1.396,1.916,0.05,0.072,308.0,77.0,336.0,1031.0,1.05
Ord_nc[16],0.228,0.831,-1.406,1.829,0.024,0.027,1233.0,488.0,1115.0,1269.0,1.13
Ord_nc[17],0.004,0.814,-1.404,1.498,0.167,0.12,24.0,24.0,27.0,407.0,1.1
Ord_nc[18],-0.112,1.073,-1.888,1.699,0.312,0.226,12.0,12.0,13.0,36.0,1.22
Ord_nc[19],0.498,1.014,-1.364,2.303,0.18,0.129,32.0,32.0,37.0,303.0,1.07
Fam_nc[0],-0.058,0.856,-1.662,1.631,0.026,0.036,1073.0,277.0,966.0,1401.0,1.15
Fam_nc[1],-0.327,0.955,-2.133,1.496,0.041,0.055,544.0,154.0,507.0,2030.0,1.22
Fam_nc[2],-0.111,0.884,-1.592,1.63,0.139,0.099,40.0,40.0,41.0,1219.0,1.07
Fam_nc[3],-0.209,0.869,-1.842,1.494,0.047,0.033,338.0,338.0,383.0,1236.0,1.05
Fam_nc[4],0.667,0.901,-1.04,2.388,0.047,0.07,371.0,83.0,311.0,1389.0,1.02
Fam_nc[5],0.126,0.924,-1.623,1.909,0.062,0.044,222.0,221.0,246.0,1705.0,1.03
Fam_nc[6],0.133,0.932,-1.412,1.871,0.178,0.127,27.0,27.0,30.0,1735.0,1.09
Fam_nc[7],-0.221,0.928,-1.799,1.706,0.083,0.059,124.0,124.0,132.0,317.0,1.05
Fam_nc[8],-0.027,0.95,-1.603,1.744,0.184,0.132,27.0,27.0,29.0,1224.0,1.09
Fam_nc[9],-0.189,0.893,-1.659,1.672,0.123,0.088,52.0,52.0,50.0,2185.0,1.06
