mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
1.605,0.774,0.143,3.053,0.013,0.009,3620.0,3620.0,3621.0,2882.0,1.0
0.61,0.999,-1.316,2.425,0.015,0.013,4258.0,2835.0,4260.0,3169.0,1.0
0.04,0.967,-1.738,1.944,0.013,0.016,5709.0,1845.0,5709.0,3064.0,1.0
-0.301,0.891,-1.92,1.424,0.013,0.013,4580.0,2231.0,4623.0,2963.0,1.0
0.795,0.864,-0.911,2.358,0.015,0.011,3262.0,3070.0,3299.0,2843.0,1.0
-0.187,0.947,-1.943,1.59,0.014,0.015,4780.0,1884.0,4786.0,3050.0,1.0
0.05,0.901,-1.658,1.742,0.012,0.015,5250.0,1783.0,5252.0,3089.0,1.0
-0.127,0.911,-1.876,1.549,0.012,0.014,5899.0,1989.0,5885.0,3139.0,1.0
-0.155,0.953,-2.023,1.607,0.013,0.016,5426.0,1732.0,5460.0,2772.0,1.0
-0.264,0.788,-1.775,1.261,0.012,0.012,4443.0,2028.0,4462.0,2820.0,1.0
-0.189,0.924,-1.871,1.577,0.013,0.016,5353.0,1595.0,5358.0,2439.0,1.0
-0.113,0.874,-1.745,1.56,0.013,0.014,4435.0,1878.0,4503.0,2609.0,1.0
-0.117,0.947,-1.779,1.785,0.013,0.016,5456.0,1852.0,5464.0,3206.0,1.0
0.154,0.861,-1.479,1.774,0.012,0.013,4845.0,2071.0,4865.0,3163.0,1.0
-0.034,0.968,-1.782,1.851,0.013,0.018,5979.0,1527.0,5972.0,2902.0,1.0
0.493,0.415,-0.315,1.251,0.01,0.007,1911.0,1911.0,1915.0,2338.0,1.0
0.503,0.416,-0.268,1.289,0.009,0.007,1930.0,1930.0,1934.0,2563.0,1.0
-0.061,0.438,-0.874,0.77,0.01,0.007,2086.0,2086.0,2091.0,2419.0,1.0
0.221,0.419,-0.625,0.97,0.01,0.007,1907.0,1907.0,1905.0,2171.0,1.0
0.152,0.547,-0.86,1.168,0.01,0.007,2829.0,2829.0,2833.0,2894.0,1.0
0.286,0.552,-0.724,1.357,0.01,0.007,2921.0,2803.0,2921.0,3107.0,1.0
-0.007,0.491,-0.94,0.898,0.011,0.008,2098.0,1944.0,2091.0,2559.0,1.0
0.71,0.48,-0.194,1.6,0.011,0.008,1994.0,1960.0,1989.0,2536.0,1.0
0.157,0.477,-0.738,1.039,0.011,0.008,1976.0,1924.0,1979.0,2500.0,1.0
