mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
1.731,0.836,0.253,3.373,0.013,0.009,4444.0,3941.0,4451.0,2851.0,1.0
0.433,0.957,-1.365,2.199,0.013,0.013,5777.0,2602.0,5772.0,3301.0,1.0
-0.021,0.972,-1.782,1.883,0.011,0.019,7574.0,1298.0,7637.0,2634.0,1.0
0.119,0.962,-1.695,1.894,0.012,0.016,6078.0,1817.0,6058.0,2872.0,1.0
0.138,0.918,-1.638,1.801,0.013,0.015,5151.0,1820.0,5149.0,2725.0,1.0
0.126,0.85,-1.468,1.706,0.011,0.014,5500.0,1951.0,5493.0,3125.0,1.0
0.053,0.995,-1.677,2.083,0.014,0.019,5334.0,1343.0,5376.0,1946.0,1.0
0.043,0.926,-1.611,1.82,0.012,0.016,6235.0,1690.0,6216.0,2836.0,1.0
0.25,0.935,-1.658,1.866,0.012,0.015,5770.0,1981.0,5799.0,2955.0,1.0
0.057,0.949,-1.699,1.886,0.012,0.017,6133.0,1488.0,6192.0,2208.0,1.0
-0.468,0.83,-2.028,1.108,0.013,0.013,4126.0,2023.0,4070.0,3147.0,1.0
-0.05,0.984,-1.982,1.702,0.012,0.017,7282.0,1769.0,7323.0,3082.0,1.0
0.254,0.897,-1.526,1.966,0.012,0.016,5377.0,1484.0,5580.0,1986.0,1.0
-0.062,0.961,-1.984,1.637,0.011,0.017,7254.0,1675.0,7267.0,2905.0,1.0
-0.519,0.965,-2.499,1.183,0.013,0.014,5372.0,2449.0,5436.0,3000.0,1.0
0.136,0.464,-0.727,1.001,0.01,0.007,2339.0,2093.0,2338.0,2608.0,1.0
0.509,0.467,-0.343,1.4,0.01,0.007,2367.0,2295.0,2365.0,2639.0,1.0
0.559,0.545,-0.505,1.549,0.01,0.007,2743.0,2693.0,2745.0,2635.0,1.0
0.503,0.486,-0.374,1.43,0.01,0.007,2338.0,2287.0,2347.0,2755.0,1.0
-0.037,0.742,-1.315,1.447,0.012,0.012,3809.0,2016.0,3801.0,1532.0,1.0
0.159,0.693,-1.052,1.505,0.01,0.011,4399.0,1913.0,4416.0,2794.0,1.0
0.312,0.583,-0.788,1.389,0.012,0.009,2422.0,2129.0,2431.0,2490.0,1.0
0.817,0.525,-0.108,1.843,0.011,0.008,2449.0,2290.0,2456.0,2355.0,1.0
0.591,0.512,-0.335,1.557,0.01,0.008,2411.0,2136.0,2416.0,2334.0,1.0
0.068,0.518,-0.935,1.042,0.01,0.008,2464.0,1916.0,2474.0,2480.0,1.0
0.081,0.078,-0.075,0.223,0.001,0.001,6099.0,3361.0,6079.0,2997.0,1.0
0.547,0.157,0.272,0.861,0.002,0.002,4169.0,4169.0,4123.0,2575.0,1.0
0.968,0.655,-0.294,2.116,0.011,0.008,3714.0,3248.0,3716.0,3275.0,1.0
0.796,0.667,-0.41,2.037,0.011,0.008,3648.0,3115.0,3667.0,3030.0,1.0
-0.377,0.126,-0.612,-0.135,0.002,0.001,6408.0,5410.0,6413.0,2862.0,1.0
0.17,0.325,-0.457,0.764,0.006,0.005,3454.0,2416.0,3443.0,1822.0,1.0
0.0,0.508,-0.978,0.948,0.006,0.01,7141.0,1411.0,7159.0,2565.0,1.0
0.311,0.314,-0.255,0.933,0.005,0.004,3892.0,3144.0,3892.0,2810.0,1.0
-0.051,0.355,-0.711,0.615,0.005,0.005,4617.0,2718.0,4628.0,3474.0,1.0
0.269,0.202,-0.129,0.61,0.003,0.002,5103.0,4686.0,5109.0,3016.0,1.0
0.07,0.19,-0.287,0.423,0.003,0.003,5446.0,2188.0,5432.0,3020.0,1.0
-0.127,0.492,-0.976,0.878,0.01,0.007,2625.0,2152.0,2624.0,2807.0,1.0
0.502,0.748,-0.892,1.9,0.011,0.01,4771.0,2681.0,4750.0,2998.0,1.0
0.347,0.605,-0.759,1.538,0.01,0.008,3704.0,2907.0,3699.0,3291.0,1.0
0.227,0.558,-0.855,1.223,0.01,0.008,3012.0,2598.0,3020.0,3158.0,1.0
0.806,0.483,-0.078,1.721,0.009,0.007,2656.0,2508.0,2662.0,2710.0,1.0
0.25,0.64,-0.918,1.502,0.01,0.009,3766.0,2747.0,3759.0,3362.0,1.0
0.733,0.642,-0.452,1.966,0.011,0.008,3726.0,3256.0,3724.0,2989.0,1.0
0.775,0.6,-0.316,1.926,0.01,0.008,3583.0,2884.0,3589.0,3117.0,1.0
0.179,0.142,0.001,0.431,0.003,0.002,1988.0,1988.0,1902.0,2359.0,1.0
1.845,0.851,0.244,3.413,0.013,0.009,4489.0,4069.0,4496.0,2827.0,1.0
1.731,0.866,0.107,3.333,0.013,0.01,4626.0,3986.0,4612.0,2860.0,1.0
1.767,0.871,0.068,3.352,0.013,0.01,4594.0,3982.0,4580.0,2862.0,1.0
1.762,0.848,0.23,3.42,0.013,0.01,4388.0,3948.0,4384.0,2619.0,1.0
1.756,0.836,0.317,3.453,0.013,0.009,4458.0,4042.0,4467.0,2875.0,1.0
1.745,0.862,0.094,3.314,0.013,0.01,4421.0,3885.0,4420.0,2846.0,1.0
1.738,0.859,0.096,3.296,0.013,0.01,4426.0,3977.0,4424.0,2856.0,1.0
1.796,0.849,0.154,3.311,0.013,0.009,4495.0,4139.0,4492.0,2768.0,1.0
1.743,0.86,0.183,3.409,0.013,0.009,4559.0,4171.0,4560.0,2945.0,1.0
1.633,0.855,0.036,3.23,0.013,0.01,4319.0,3846.0,4319.0,2794.0,1.0
1.715,0.864,0.053,3.289,0.013,0.01,4394.0,3972.0,4419.0,2835.0,1.0
1.789,0.848,0.129,3.31,0.013,0.009,4558.0,4127.0,4553.0,2902.0,1.0
1.713,0.854,0.009,3.183,0.013,0.01,4310.0,3923.0,4315.0,2872.0,1.0
1.608,0.867,0.03,3.256,0.013,0.01,4215.0,3795.0,4211.0,2855.0,1.0
1.393,0.058,1.286,1.497,0.001,0.001,2871.0,2871.0,3531.0,1675.0,1.0
167.788,78.622,49.561,310.267,1.147,0.849,4695.0,4290.0,4841.0,3399.0,1.0
391.319,167.958,148.224,722.253,2.413,1.812,4846.0,4298.0,5227.0,3882.0,1.0
872.189,308.831,375.971,1444.127,4.464,3.296,4786.0,4391.0,4808.0,3764.0,1.0
440.472,104.795,252.829,627.943,1.55,1.096,4571.0,4571.0,4585.0,3940.0,1.0
533.548,169.661,236.422,828.253,2.547,1.921,4438.0,3903.0,4563.0,3636.0,1.0
543.521,435.124,40.579,1249.483,6.72,5.319,4193.0,3347.0,5360.0,2665.0,1.0
317.711,116.917,137.508,526.339,1.766,1.297,4385.0,4061.0,4551.0,3182.0,1.0
234.319,92.031,87.043,404.41,1.349,0.977,4657.0,4439.0,4723.0,3661.0,1.0
