,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept,0.803,1.009,-1.164,2.618,0.015,0.015,4428.0,2163.0,4415.0,2555.0,1.0
Cla_nc[0],1.935,0.371,1.287,2.656,0.009,0.007,1550.0,1550.0,1508.0,1624.0,1.0
Cla_nc[1],1.94,0.379,1.23,2.638,0.009,0.007,1635.0,1635.0,1634.0,1556.0,1.0
Cla_nc[2],1.381,0.409,0.589,2.133,0.008,0.006,2691.0,2589.0,2698.0,2735.0,1.0
Ord_nc[0],-0.02,0.76,-1.405,1.429,0.013,0.013,3315.0,1607.0,3304.0,2699.0,1.0
Ord_nc[1],-0.537,0.45,-1.381,0.318,0.011,0.008,1820.0,1666.0,1827.0,1961.0,1.0
Ord_nc[2],0.27,0.354,-0.403,0.905,0.01,0.009,1263.0,776.0,1450.0,1181.0,1.0
Ord_nc[3],-0.254,0.495,-1.181,0.711,0.011,0.009,2007.0,1412.0,2035.0,1897.0,1.0
Ord_nc[4],-1.041,0.997,-2.936,0.802,0.018,0.014,3206.0,2723.0,3218.0,2470.0,1.0
Ord_nc[5],-1.259,0.754,-2.761,0.034,0.014,0.011,2843.0,2580.0,2847.0,2164.0,1.0
Ord_nc[6],0.242,0.992,-1.546,2.217,0.028,0.03,1293.0,545.0,1520.0,455.0,1.0
Ord_nc[7],0.567,0.739,-0.825,1.934,0.012,0.01,3551.0,2572.0,3568.0,2620.0,1.0
Ord_nc[8],-0.623,0.819,-2.238,0.849,0.013,0.012,3733.0,2532.0,3773.0,2676.0,1.0
Ord_nc[9],-0.567,0.508,-1.495,0.411,0.01,0.008,2517.0,1990.0,2511.0,2283.0,1.0
Ord_nc[10],-0.031,0.514,-1.008,0.92,0.012,0.009,1827.0,1683.0,1844.0,2020.0,1.0
Ord_nc[11],0.859,0.72,-0.563,2.139,0.017,0.012,1765.0,1765.0,1772.0,583.0,1.0
Ord_nc[12],0.333,0.757,-1.115,1.674,0.018,0.012,1849.0,1849.0,1922.0,1794.0,1.0
Ord_nc[13],-1.58,0.67,-2.804,-0.236,0.013,0.009,2695.0,2695.0,2802.0,1951.0,1.0
Ord_nc[14],0.697,0.551,-0.343,1.73,0.013,0.009,1861.0,1777.0,1847.0,2119.0,1.0
Ord_nc[15],0.239,0.713,-1.231,1.501,0.012,0.012,3280.0,1704.0,3281.0,2375.0,1.01
Ord_nc[16],-0.109,0.655,-1.404,1.147,0.013,0.012,2400.0,1435.0,2500.0,1905.0,1.0
Ord_nc[17],0.315,0.669,-0.906,1.559,0.013,0.011,2630.0,1822.0,2540.0,2485.0,1.0
Ord_nc[18],1.032,0.766,-0.445,2.411,0.015,0.011,2767.0,2617.0,2777.0,2747.0,1.0
Ord_nc[19],-0.127,0.715,-1.443,1.207,0.013,0.012,3039.0,1691.0,3045.0,2147.0,1.0
Ord_nc[20],0.597,0.849,-1.097,2.141,0.022,0.015,1512.0,1512.0,1529.0,459.0,1.0
Ord_nc[21],0.348,0.84,-1.265,1.895,0.014,0.013,3455.0,2252.0,3448.0,1843.0,1.0
Ord_nc[22],0.184,0.816,-1.361,1.627,0.016,0.014,2485.0,1787.0,2543.0,434.0,1.0
Ord_nc[23],0.924,0.896,-0.783,2.582,0.015,0.011,3598.0,3096.0,3624.0,3049.0,1.0
Ord_nc[24],-1.471,0.83,-2.991,0.163,0.018,0.012,2233.0,2233.0,2288.0,1754.0,1.0
Ord_nc[25],-0.472,0.856,-2.06,1.155,0.018,0.013,2232.0,2232.0,2314.0,1559.0,1.0
Ord_nc[26],1.314,0.791,-0.17,2.826,0.013,0.01,3527.0,3110.0,3528.0,2600.0,1.0
Ord_nc[27],-0.248,0.828,-1.772,1.317,0.012,0.013,4470.0,2189.0,4480.0,2506.0,1.0
Ord_nc[28],-0.14,0.56,-1.16,0.956,0.012,0.011,2084.0,1418.0,2135.0,1864.0,1.0
Ord_nc[29],0.311,0.668,-0.923,1.59,0.013,0.011,2527.0,1809.0,2570.0,1810.0,1.0
Ord_nc[30],-0.216,0.647,-1.435,1.031,0.012,0.01,2777.0,2174.0,2767.0,2735.0,1.0
Ord_nc[31],0.019,0.79,-1.595,1.402,0.013,0.014,3740.0,1597.0,3766.0,2496.0,1.0
Ord_nc[32],0.578,0.718,-0.751,1.91,0.014,0.01,2748.0,2371.0,2780.0,2148.0,1.0
Ord_nc[33],0.911,0.898,-0.764,2.583,0.017,0.012,2742.0,2742.0,2846.0,2609.0,1.0
Fam_nc[0],0.009,0.892,-1.704,1.675,0.014,0.015,3851.0,1852.0,3804.0,3005.0,1.0
Fam_nc[1],0.512,0.779,-0.931,1.999,0.013,0.011,3592.0,2612.0,3602.0,2765.0,1.0
Fam_nc[2],-0.054,0.726,-1.511,1.242,0.012,0.012,3757.0,1809.0,3775.0,2258.0,1.0
Fam_nc[3],1.907,0.539,0.902,2.927,0.012,0.008,2119.0,2045.0,2138.0,2197.0,1.0
Fam_nc[4],-0.398,0.669,-1.681,0.806,0.011,0.01,3521.0,2427.0,3533.0,2990.0,1.0
Fam_nc[5],-0.7,1.033,-2.7,1.177,0.018,0.017,3167.0,1897.0,3287.0,1453.0,1.0
Fam_nc[6],-0.407,0.882,-2.047,1.189,0.019,0.014,2089.0,2082.0,2092.0,2465.0,1.0
Fam_nc[7],-0.565,0.886,-2.211,1.037,0.021,0.015,1738.0,1738.0,1711.0,1515.0,1.0
Fam_nc[8],-0.415,0.991,-2.37,1.415,0.014,0.016,5063.0,1968.0,5034.0,2396.0,1.0
Fam_nc[9],-0.131,0.953,-1.863,1.721,0.015,0.017,3923.0,1492.0,3883.0,2236.0,1.0
Fam_nc[10],0.319,0.726,-1.073,1.682,0.015,0.011,2291.0,2291.0,2505.0,454.0,1.0
Fam_nc[11],-0.02,0.741,-1.426,1.35,0.013,0.011,3322.0,2108.0,3324.0,3014.0,1.0
Fam_nc[12],-0.151,0.749,-1.569,1.233,0.011,0.012,4365.0,2007.0,4342.0,3064.0,1.0
Fam_nc[13],-0.443,0.931,-2.189,1.365,0.014,0.016,4149.0,1790.0,4156.0,2510.0,1.0
Fam_nc[14],0.261,0.789,-1.269,1.695,0.013,0.013,3724.0,1953.0,3751.0,2313.0,1.0
Fam_nc[15],0.084,0.794,-1.319,1.667,0.012,0.013,4411.0,1954.0,4413.0,2589.0,1.0
Fam_nc[16],-0.732,0.955,-2.544,1.08,0.017,0.014,3130.0,2282.0,3248.0,1717.0,1.0
Fam_nc[17],-0.906,0.806,-2.368,0.638,0.014,0.01,3323.0,3090.0,3433.0,2565.0,1.0
Fam_nc[18],0.411,0.858,-1.236,1.924,0.018,0.013,2294.0,2288.0,2268.0,597.0,1.0
Fam_nc[19],-0.724,1.038,-2.738,1.189,0.016,0.015,4138.0,2255.0,4125.0,2865.0,1.0
Fam_nc[20],-0.689,0.919,-2.322,1.046,0.014,0.013,4451.0,2563.0,4506.0,2544.0,1.0
Fam_nc[21],0.292,0.501,-0.734,1.186,0.012,0.009,1609.0,1609.0,1689.0,420.0,1.0
Fam_nc[22],-0.026,0.845,-1.694,1.465,0.013,0.015,3944.0,1686.0,3897.0,2668.0,1.0
Fam_nc[23],-0.721,0.589,-1.82,0.404,0.012,0.01,2540.0,1917.0,2588.0,2121.0,1.0
Fam_nc[24],-0.617,0.908,-2.329,1.089,0.013,0.013,4640.0,2304.0,4649.0,2582.0,1.0
Fam_nc[25],-0.238,0.789,-1.562,1.385,0.015,0.015,2857.0,1430.0,2842.0,2026.0,1.0
Fam_nc[26],-1.161,0.744,-2.535,0.247,0.013,0.01,3244.0,2896.0,3255.0,2805.0,1.0
Fam_nc[27],-0.665,0.936,-2.339,1.106,0.013,0.013,5421.0,2722.0,5522.0,2413.0,1.0
Fam_nc[28],-0.988,0.862,-2.488,0.69,0.016,0.017,2820.0,1364.0,2631.0,985.0,1.0
Fam_nc[29],0.424,1.008,-1.413,2.295,0.016,0.017,4181.0,1699.0,4193.0,2404.0,1.0
Fam_nc[30],-0.555,0.84,-2.232,0.928,0.013,0.011,4188.0,2699.0,4174.0,2933.0,1.0
Fam_nc[31],-1.496,0.992,-3.273,0.508,0.028,0.027,1288.0,656.0,1351.0,399.0,1.0
Fam_nc[32],0.879,0.877,-0.749,2.51,0.019,0.013,2166.0,2166.0,2139.0,2682.0,1.0
Fam_nc[33],0.425,0.784,-1.136,1.841,0.013,0.011,3632.0,2366.0,3644.0,2573.0,1.0
Fam_nc[34],-0.053,0.869,-1.579,1.748,0.025,0.032,1207.0,359.0,1470.0,444.0,1.0
Fam_nc[35],0.157,0.865,-1.458,1.79,0.012,0.015,4911.0,1672.0,4931.0,2496.0,1.0
Fam_nc[36],-0.842,1.037,-2.716,1.138,0.017,0.018,3689.0,1726.0,3650.0,1598.0,1.0
Fam_nc[37],0.554,0.827,-0.948,2.19,0.015,0.011,3167.0,2924.0,3252.0,3236.0,1.0
Fam_nc[38],-0.057,0.68,-1.4,1.175,0.014,0.012,2340.0,1715.0,2362.0,2054.0,1.0
Fam_nc[39],-0.167,0.73,-1.521,1.234,0.019,0.016,1514.0,984.0,1538.0,465.0,1.0
Fam_nc[40],0.283,0.532,-0.623,1.352,0.009,0.008,3540.0,2047.0,3491.0,2567.0,1.0
Fam_nc[41],0.001,0.861,-1.563,1.643,0.014,0.015,3639.0,1682.0,3643.0,3044.0,1.0
Fam_nc[42],0.232,0.874,-1.444,1.854,0.013,0.015,4202.0,1605.0,4185.0,2557.0,1.01
Fam_nc[43],0.682,0.737,-0.777,1.964,0.012,0.009,3706.0,3126.0,3725.0,2886.0,1.0
Fam_nc[44],1.032,0.758,-0.361,2.484,0.012,0.009,4039.0,3202.0,4057.0,2759.0,1.0
Fam_nc[45],-0.496,0.752,-1.922,0.908,0.011,0.012,4510.0,1963.0,4488.0,2898.0,1.0
Fam_nc[46],0.418,0.861,-1.137,2.074,0.015,0.013,3277.0,2344.0,3259.0,2979.0,1.0
Fam_nc[47],-0.492,0.859,-2.201,1.061,0.02,0.023,1852.0,683.0,1973.0,452.0,1.0
Fam_nc[48],-0.106,0.727,-1.544,1.184,0.012,0.011,3979.0,2211.0,3994.0,3103.0,1.0
Fam_nc[49],0.145,0.868,-1.628,1.702,0.015,0.015,3431.0,1682.0,3455.0,2300.0,1.0
Fam_nc[50],-1.031,0.708,-2.309,0.354,0.012,0.01,3587.0,2707.0,3578.0,2744.0,1.0
Fam_nc[51],0.229,0.842,-1.454,1.711,0.014,0.013,3657.0,1954.0,3652.0,2787.0,1.0
Fam_nc[52],0.77,0.93,-0.989,2.515,0.017,0.018,2940.0,1388.0,2920.0,2315.0,1.01
Fam_nc[53],-0.079,0.877,-1.692,1.581,0.022,0.022,1630.0,782.0,1705.0,467.0,1.0
Fam_nc[54],-0.787,0.968,-2.706,0.906,0.017,0.015,3111.0,1960.0,3159.0,2965.0,1.0
Fam_nc[55],0.537,0.752,-0.871,1.951,0.014,0.011,3022.0,2284.0,3017.0,2655.0,1.0
Fam_nc[56],0.667,0.756,-0.719,2.074,0.014,0.01,3026.0,2816.0,3033.0,2647.0,1.0
Fam_nc[57],0.569,0.855,-1.137,2.113,0.013,0.012,4524.0,2743.0,4526.0,2996.0,1.0
Fam_nc[58],0.49,0.655,-0.788,1.681,0.012,0.009,2952.0,2427.0,2918.0,2800.0,1.0
Fam_nc[59],0.416,0.462,-0.405,1.334,0.009,0.008,2586.0,1880.0,2581.0,2374.0,1.0
Fam_nc[60],0.563,0.861,-1.068,2.152,0.015,0.013,3324.0,2334.0,3366.0,2602.0,1.0
Fam_nc[61],0.14,0.917,-1.617,1.808,0.025,0.028,1354.0,525.0,1470.0,478.0,1.0
Fam_nc[62],0.483,0.946,-1.308,2.201,0.017,0.017,3131.0,1623.0,3135.0,2324.0,1.0
Fam_nc[63],0.738,0.759,-0.665,2.19,0.014,0.011,2821.0,2323.0,2843.0,2450.0,1.0
Fam_nc[64],-0.516,0.739,-1.966,0.823,0.012,0.011,3504.0,2136.0,3509.0,2460.0,1.0
Fam_nc[65],0.546,0.837,-1.021,2.146,0.014,0.012,3665.0,2340.0,3709.0,2685.0,1.0
Fam_nc[66],-0.413,0.833,-1.94,1.18,0.022,0.027,1395.0,472.0,1532.0,370.0,1.0
Fam_nc[67],0.522,0.921,-1.216,2.204,0.015,0.015,3560.0,1857.0,3522.0,2481.0,1.0
Fam_nc[68],-0.07,0.86,-1.698,1.48,0.014,0.014,4004.0,1839.0,4033.0,2898.0,1.0
Fam_nc[69],0.75,0.866,-0.881,2.37,0.014,0.012,3893.0,2522.0,3890.0,2740.0,1.0
Fam_nc[70],0.621,0.983,-1.21,2.461,0.014,0.014,5127.0,2323.0,5163.0,3010.0,1.0
Fam_nc[71],-1.405,0.952,-3.19,0.321,0.022,0.017,1955.0,1515.0,1892.0,2310.0,1.0
Fam_nc[72],-0.121,0.784,-1.622,1.318,0.012,0.013,4576.0,1940.0,4584.0,2975.0,1.0
Fam_nc[73],-0.26,0.848,-1.832,1.359,0.012,0.014,5076.0,1949.0,5087.0,2978.0,1.0
Fam_nc[74],0.324,0.879,-1.33,2.016,0.013,0.015,4548.0,1809.0,4500.0,2413.0,1.0
Fam_nc[75],0.596,0.757,-0.875,1.932,0.013,0.01,3299.0,2776.0,3329.0,2940.0,1.0
Fam_nc[76],0.259,0.92,-1.56,1.869,0.014,0.016,4454.0,1732.0,4471.0,2628.0,1.0
Fam_nc[77],-0.216,0.84,-1.742,1.371,0.013,0.014,4041.0,1913.0,4059.0,2777.0,1.0
Fam_nc[78],0.23,0.841,-1.269,1.871,0.016,0.014,2920.0,1717.0,2914.0,2373.0,1.0
Fam_nc[79],0.076,0.792,-1.444,1.48,0.016,0.013,2449.0,1743.0,2502.0,449.0,1.0
Fam_nc[80],0.238,0.913,-1.461,1.992,0.026,0.034,1203.0,362.0,1425.0,460.0,1.01
Fam_nc[81],-0.332,0.809,-1.923,1.127,0.015,0.013,2899.0,1975.0,2906.0,2234.0,1.0
Fam_nc[82],0.136,0.895,-1.392,1.899,0.014,0.015,4040.0,1767.0,4027.0,2962.0,1.0
Fam_nc[83],0.149,0.883,-1.536,1.786,0.013,0.015,4497.0,1760.0,4494.0,2777.0,1.0
Fam_nc[84],0.685,0.99,-1.246,2.469,0.029,0.036,1165.0,379.0,1336.0,473.0,1.01
Fam_nc[85],0.571,0.858,-1.015,2.191,0.014,0.011,3691.0,2895.0,3659.0,3088.0,1.0
Fam_nc[86],-1.074,0.941,-2.853,0.701,0.018,0.013,2755.0,2754.0,2754.0,2586.0,1.0
