,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept,0.976,0.805,-0.57,2.409,0.032,0.023,619.0,619.0,618.0,958.0,1.02
Cla_nc[0],0.736,0.956,-0.704,2.963,0.144,0.152,44.0,20.0,51.0,16.0,1.06
Cla_nc[1],-0.095,0.949,-1.538,2.182,0.17,0.121,31.0,31.0,43.0,17.0,1.06
Ord_nc[0],-0.05,0.92,-1.577,1.758,0.053,0.037,304.0,304.0,352.0,474.0,1.02
Ord_nc[1],-0.272,0.818,-1.75,1.381,0.033,0.023,622.0,622.0,569.0,1337.0,1.01
Ord_nc[2],0.278,0.912,-1.423,1.965,0.065,0.046,197.0,197.0,210.0,1227.0,1.03
Ord_nc[3],-0.106,0.991,-1.88,1.728,0.053,0.038,348.0,348.0,363.0,1620.0,1.02
Ord_nc[4],-0.102,0.965,-1.845,1.798,0.044,0.031,477.0,477.0,474.0,1310.0,1.01
Ord_nc[5],-0.059,0.996,-1.82,1.737,0.116,0.083,73.0,73.0,77.0,239.0,1.04
Ord_nc[6],0.261,1.134,-2.297,1.849,0.21,0.15,29.0,29.0,37.0,18.0,1.07
Ord_nc[7],0.281,0.956,-1.394,2.275,0.027,0.023,1293.0,863.0,1243.0,1556.0,1.01
Ord_nc[8],-0.005,0.899,-1.742,1.705,0.027,0.026,1119.0,601.0,1085.0,971.0,1.01
Ord_nc[9],-0.093,0.946,-1.757,1.807,0.029,0.02,1070.0,1070.0,990.0,1545.0,1.01
Ord_nc[10],0.102,0.958,-1.605,1.924,0.043,0.031,486.0,486.0,505.0,437.0,1.03
Ord_nc[11],-0.125,0.872,-1.776,1.667,0.022,0.022,1614.0,759.0,1531.0,1796.0,1.04
Ord_nc[12],0.262,0.952,-1.459,2.192,0.032,0.041,863.0,272.0,953.0,457.0,1.04
Ord_nc[13],-0.257,0.996,-2.061,1.472,0.087,0.062,130.0,130.0,144.0,995.0,1.02
Ord_nc[14],0.196,1.02,-1.646,1.996,0.128,0.103,63.0,49.0,62.0,41.0,1.04
Ord_nc[15],-0.266,0.924,-1.973,1.485,0.025,0.024,1408.0,767.0,1260.0,1722.0,1.03
Ord_nc[16],-0.133,1.012,-1.91,1.721,0.088,0.063,131.0,131.0,146.0,749.0,1.02
Ord_nc[17],0.095,0.958,-1.826,1.613,0.098,0.07,95.0,95.0,95.0,603.0,1.03
Ord_nc[18],0.192,0.94,-1.623,1.796,0.065,0.046,209.0,209.0,227.0,2350.0,1.02
Fam_nc[0],-0.075,0.999,-1.835,1.746,0.093,0.069,116.0,106.0,122.0,278.0,1.04
Fam_nc[1],0.237,0.936,-1.377,1.964,0.064,0.05,213.0,175.0,221.0,455.0,1.02
Fam_nc[2],0.054,0.945,-1.638,1.863,0.044,0.031,458.0,458.0,454.0,1376.0,1.01
Fam_nc[3],-0.084,0.998,-1.875,1.867,0.038,0.027,705.0,705.0,721.0,1463.0,1.03
Fam_nc[4],-0.01,1.087,-1.797,2.071,0.16,0.114,46.0,46.0,49.0,42.0,1.06
Fam_nc[5],-0.122,1.035,-1.936,1.629,0.096,0.068,117.0,117.0,126.0,1398.0,1.03
Fam_nc[6],-0.094,0.933,-1.632,1.865,0.043,0.03,469.0,469.0,546.0,247.0,1.01
Fam_nc[7],-0.109,0.973,-1.833,1.679,0.031,0.022,973.0,973.0,1030.0,2264.0,1.01
Fam_nc[8],0.038,1.095,-1.722,2.187,0.154,0.115,51.0,46.0,59.0,28.0,1.05
Fam_nc[9],-0.356,1.003,-2.311,1.413,0.041,0.03,600.0,557.0,601.0,534.0,1.01
Fam_nc[10],-0.019,0.989,-1.859,1.782,0.052,0.045,356.0,241.0,374.0,360.0,1.04
Fam_nc[11],-0.002,0.917,-1.74,1.756,0.023,0.025,1533.0,665.0,1444.0,808.0,1.01
Fam_nc[12],0.279,0.947,-1.519,2.011,0.037,0.026,645.0,645.0,642.0,625.0,1.05
Fam_nc[13],-0.006,0.951,-1.867,1.718,0.034,0.026,796.0,644.0,731.0,1094.0,1.01
Fam_nc[14],0.207,1.032,-1.43,2.089,0.109,0.077,90.0,90.0,88.0,200.0,1.04
Fam_nc[15],0.079,1.036,-1.763,1.931,0.104,0.073,100.0,100.0,105.0,728.0,1.03
Fam_nc[16],0.205,1.032,-1.65,2.228,0.069,0.049,222.0,222.0,224.0,226.0,1.02
Fam_nc[17],0.1,0.924,-1.795,1.609,0.039,0.028,554.0,554.0,587.0,1659.0,1.01
Fam_nc[18],0.176,0.969,-1.762,1.775,0.079,0.056,149.0,149.0,165.0,1415.0,1.03
Fam_nc[19],-0.035,0.992,-1.936,1.679,0.047,0.034,438.0,438.0,455.0,724.0,1.01
Fam_nc[20],-0.122,0.98,-1.798,1.688,0.078,0.055,157.0,157.0,177.0,2347.0,1.02
Fam_nc[21],-0.118,0.955,-2.002,1.732,0.046,0.042,432.0,256.0,436.0,241.0,1.05
Fam_nc[22],-0.117,1.032,-1.923,1.984,0.069,0.071,224.0,105.0,274.0,148.0,1.05
Fam_nc[23],-0.143,0.964,-1.932,1.755,0.028,0.033,1166.0,430.0,1130.0,1986.0,1.02
Fam_nc[24],-0.119,0.972,-1.86,1.675,0.062,0.044,246.0,246.0,245.0,1052.0,1.01
Fam_nc[25],0.128,0.991,-1.509,2.052,0.063,0.057,244.0,153.0,268.0,212.0,1.03
Fam_nc[26],0.179,0.947,-1.581,1.913,0.048,0.034,385.0,385.0,411.0,1458.0,1.01
Fam_nc[27],-0.042,1.046,-1.819,1.911,0.111,0.078,89.0,89.0,93.0,252.0,1.03
Fam_nc[28],0.068,0.947,-1.827,1.69,0.043,0.031,476.0,476.0,527.0,1785.0,1.01
Fam_nc[29],0.125,0.973,-1.661,2.037,0.03,0.023,1071.0,871.0,1065.0,1577.0,1.01
Fam_nc[30],-0.072,0.941,-1.788,1.582,0.08,0.057,139.0,139.0,139.0,385.0,1.03
Fam_nc[31],0.253,1.018,-1.507,2.133,0.078,0.055,172.0,172.0,244.0,1019.0,1.02
Fam_nc[32],0.112,0.994,-1.615,2.026,0.102,0.072,95.0,95.0,107.0,288.0,1.03
Fam_nc[33],-0.013,0.972,-1.746,1.755,0.088,0.062,122.0,122.0,134.0,1363.0,1.03
Fam_nc[34],-0.038,0.983,-1.81,1.763,0.056,0.039,313.0,313.0,349.0,915.0,1.01
Fam_nc[35],-0.238,0.957,-2.218,1.489,0.069,0.077,191.0,78.0,221.0,45.0,1.03
Fam_nc[36],0.084,1.032,-1.789,2.189,0.051,0.042,404.0,302.0,439.0,270.0,1.01
Fam_nc[37],0.04,1.01,-1.765,1.83,0.104,0.074,95.0,95.0,94.0,962.0,1.03
Fam_nc[38],0.025,0.963,-1.771,1.814,0.06,0.042,260.0,260.0,265.0,170.0,1.02
Fam_nc[39],0.058,0.964,-1.67,1.966,0.032,0.023,911.0,911.0,905.0,2080.0,1.03
Fam_nc[40],0.038,1.093,-2.352,1.574,0.121,0.086,81.0,81.0,83.0,164.0,1.03
Fam_nc[41],-0.171,1.04,-2.057,1.631,0.113,0.113,85.0,43.0,94.0,62.0,1.03
Fam_nc[42],0.169,0.978,-1.554,1.925,0.057,0.04,299.0,299.0,302.0,1482.0,1.01
Fam_nc[43],0.202,0.957,-1.668,2.066,0.021,0.024,1988.0,766.0,1871.0,2094.0,1.01
Fam_nc[44],0.171,0.991,-1.664,1.934,0.052,0.036,370.0,370.0,366.0,1577.0,1.01
Fam_nc[45],-0.305,1.023,-2.16,1.479,0.103,0.074,100.0,97.0,99.0,185.0,1.03
Fam_nc[46],-0.001,0.961,-1.676,1.747,0.052,0.037,337.0,337.0,385.0,916.0,1.02
Fam_nc[47],-0.29,1.051,-2.322,1.438,0.091,0.064,134.0,134.0,150.0,238.0,1.02
Fam_nc[48],-0.153,1.088,-1.811,2.064,0.154,0.11,50.0,50.0,55.0,34.0,1.05
Fam_nc[49],0.072,0.962,-1.869,1.827,0.028,0.022,1206.0,918.0,1190.0,1230.0,1.01
Fam_nc[50],0.071,0.978,-1.633,1.791,0.127,0.09,59.0,59.0,62.0,277.0,1.05
Fam_nc[51],-0.234,0.995,-2.28,1.507,0.045,0.036,499.0,378.0,483.0,172.0,1.02
Fam_nc[52],-0.12,0.983,-1.92,1.735,0.044,0.035,498.0,393.0,491.0,247.0,1.02
Fam_nc[53],0.003,0.918,-1.686,1.704,0.032,0.023,810.0,810.0,814.0,2308.0,1.02
Fam_nc[54],-0.081,0.957,-1.883,1.757,0.027,0.022,1233.0,933.0,1271.0,2327.0,1.01
Fam_nc[55],-0.088,0.966,-1.824,1.784,0.034,0.024,814.0,814.0,830.0,1827.0,1.01
Fam_nc[56],0.03,0.931,-1.666,1.893,0.025,0.024,1387.0,750.0,1352.0,1872.0,1.02
Fam_nc[57],0.007,0.954,-1.744,1.789,0.063,0.045,228.0,228.0,255.0,512.0,1.02
Fam_nc[58],0.103,1.045,-1.628,2.194,0.118,0.084,78.0,78.0,84.0,48.0,1.03
Fam_nc[59],-0.014,1.016,-1.785,1.78,0.101,0.072,101.0,101.0,110.0,198.0,1.03
Fam_nc[60],-0.028,1.01,-2.175,1.691,0.06,0.042,285.0,285.0,290.0,246.0,1.01
Fam_nc[61],0.019,1.067,-1.833,2.02,0.08,0.057,177.0,177.0,194.0,1447.0,1.02
Fam_nc[62],0.192,1.134,-1.649,2.523,0.17,0.177,45.0,21.0,49.0,16.0,1.06
Fam_nc[63],0.1,1.005,-1.806,1.862,0.078,0.055,167.0,167.0,165.0,988.0,1.03
Fam_nc[64],-0.153,1.051,-2.175,1.62,0.135,0.096,60.0,60.0,57.0,27.0,1.04
Fam_nc[65],-0.058,0.956,-1.675,2.074,0.033,0.029,832.0,531.0,817.0,452.0,1.02
Fam_nc[66],-0.242,0.98,-2.191,1.529,0.024,0.023,1679.0,942.0,1634.0,1821.0,1.02
Fam_nc[67],-0.107,1.004,-1.796,1.878,0.057,0.04,308.0,308.0,343.0,956.0,1.02
Fam_nc[68],0.144,0.939,-1.635,1.865,0.033,0.025,802.0,681.0,871.0,818.0,1.02
Gen_nc[0],0.102,0.466,-0.785,0.953,0.022,0.016,448.0,448.0,469.0,1802.0,1.01
Gen_nc[1],1.326,0.452,0.468,2.201,0.012,0.01,1310.0,1120.0,1225.0,1697.0,1.02
Gen_nc[2],-0.124,0.483,-1.021,0.717,0.03,0.022,252.0,252.0,250.0,1797.0,1.01
Gen_nc[3],-0.427,0.659,-1.602,0.842,0.025,0.018,686.0,686.0,658.0,1658.0,1.02
Gen_nc[4],-0.721,0.719,-2.168,0.558,0.036,0.025,399.0,399.0,491.0,209.0,1.03
Gen_nc[5],-1.129,0.633,-2.252,0.021,0.064,0.048,98.0,86.0,111.0,1545.0,1.03
Gen_nc[6],-0.575,0.711,-1.953,0.611,0.049,0.04,209.0,159.0,234.0,469.0,1.01
Gen_nc[7],-0.825,0.635,-2.005,0.346,0.034,0.027,340.0,285.0,360.0,906.0,1.02
Gen_nc[8],-1.119,0.56,-2.147,-0.091,0.055,0.045,103.0,79.0,98.0,542.0,1.03
Gen_nc[9],-3.47,0.638,-4.537,-2.167,0.039,0.027,271.0,271.0,256.0,866.0,1.02
Gen_nc[10],-0.277,0.59,-1.35,0.9,0.017,0.018,1260.0,547.0,1232.0,1925.0,1.04
Gen_nc[11],-0.487,0.581,-1.548,0.606,0.075,0.069,60.0,36.0,60.0,37.0,1.05
Gen_nc[12],-0.576,0.563,-1.568,0.526,0.04,0.028,198.0,198.0,210.0,469.0,1.02
Gen_nc[13],0.629,0.472,-0.248,1.464,0.029,0.021,268.0,264.0,272.0,715.0,1.01
Gen_nc[14],0.266,0.398,-0.427,1.059,0.035,0.025,131.0,131.0,135.0,198.0,1.02
Gen_nc[15],0.416,0.629,-0.795,1.571,0.034,0.024,346.0,346.0,446.0,877.0,1.01
Gen_nc[16],0.259,0.624,-0.965,1.378,0.035,0.038,319.0,138.0,306.0,238.0,1.03
Gen_nc[17],0.979,0.76,-0.253,2.676,0.147,0.131,27.0,17.0,30.0,14.0,1.09
Gen_nc[18],0.323,0.472,-0.667,1.119,0.025,0.017,370.0,370.0,366.0,529.0,1.02
Gen_nc[19],0.63,0.57,-0.516,1.667,0.016,0.011,1317.0,1317.0,1261.0,1068.0,1.01
Gen_nc[20],0.093,0.618,-1.031,1.362,0.027,0.024,532.0,338.0,573.0,305.0,1.02
Gen_nc[21],0.603,0.721,-0.861,1.817,0.047,0.033,234.0,234.0,259.0,322.0,1.03
Gen_nc[22],-1.488,0.534,-2.45,-0.534,0.033,0.024,263.0,258.0,290.0,1155.0,1.01
Gen_nc[23],-0.054,0.73,-1.103,1.576,0.12,0.093,37.0,32.0,45.0,21.0,1.06
Gen_nc[24],-0.05,0.642,-1.22,1.138,0.043,0.03,227.0,227.0,239.0,833.0,1.02
Gen_nc[25],-0.179,0.53,-1.13,0.814,0.05,0.035,114.0,114.0,123.0,209.0,1.03
Gen_nc[26],-0.466,0.555,-1.523,0.593,0.029,0.02,374.0,370.0,360.0,220.0,1.01
Gen_nc[27],-1.119,0.548,-2.063,-0.143,0.066,0.052,68.0,56.0,77.0,362.0,1.04
Gen_nc[28],-0.115,0.545,-1.133,0.848,0.031,0.022,310.0,310.0,330.0,1837.0,1.01
Gen_nc[29],0.202,0.504,-0.652,1.218,0.023,0.017,484.0,453.0,502.0,386.0,1.04
Gen_nc[30],-0.101,0.47,-1.014,0.72,0.021,0.015,485.0,485.0,549.0,1674.0,1.01
Gen_nc[31],-1.722,0.715,-3.155,-0.492,0.101,0.088,50.0,33.0,56.0,26.0,1.05
Gen_nc[32],1.341,0.465,0.499,2.205,0.022,0.016,429.0,429.0,433.0,266.0,1.01
Gen_nc[33],-0.044,0.437,-0.874,0.688,0.052,0.037,72.0,72.0,76.0,203.0,1.04
Gen_nc[34],-0.545,0.518,-1.385,0.419,0.054,0.04,93.0,83.0,94.0,354.0,1.03
Gen_nc[35],0.405,0.666,-0.748,1.644,0.09,0.069,54.0,47.0,58.0,119.0,1.05
Gen_nc[36],0.84,0.542,-0.206,1.759,0.027,0.021,405.0,322.0,403.0,950.0,1.02
Gen_nc[37],0.288,0.646,-0.871,1.453,0.076,0.054,71.0,71.0,75.0,423.0,1.04
Gen_nc[38],0.249,0.636,-0.932,1.334,0.051,0.036,153.0,153.0,152.0,1457.0,1.02
Gen_nc[39],0.154,0.613,-1.006,1.233,0.063,0.044,96.0,96.0,93.0,1178.0,1.03
Gen_nc[40],0.992,0.556,0.056,2.149,0.027,0.019,417.0,417.0,446.0,448.0,1.01
Gen_nc[41],0.447,0.652,-0.716,1.602,0.062,0.051,112.0,81.0,111.0,583.0,1.03
Gen_nc[42],0.457,0.611,-0.754,1.5,0.039,0.027,247.0,247.0,259.0,2340.0,1.02
Gen_nc[43],-0.586,0.614,-1.705,0.651,0.023,0.016,741.0,741.0,721.0,535.0,1.03
Gen_nc[44],0.247,0.669,-1.118,1.38,0.026,0.018,678.0,678.0,661.0,2111.0,1.01
Gen_nc[45],-0.399,0.627,-1.44,0.946,0.035,0.025,326.0,326.0,316.0,1863.0,1.01
Gen_nc[46],-0.14,0.632,-1.306,0.946,0.05,0.035,162.0,162.0,182.0,1775.0,1.02
Gen_nc[47],-0.179,0.758,-1.333,1.468,0.117,0.084,42.0,42.0,53.0,22.0,1.05
Gen_nc[48],0.312,0.538,-0.643,1.346,0.026,0.018,428.0,428.0,428.0,1090.0,1.03
Gen_nc[49],0.704,0.632,-0.504,1.842,0.031,0.025,423.0,328.0,415.0,1014.0,1.01
Gen_nc[50],0.268,0.629,-0.819,1.524,0.027,0.024,549.0,331.0,556.0,391.0,1.01
Gen_nc[51],0.378,0.715,-1.039,1.649,0.035,0.035,411.0,209.0,422.0,211.0,1.03
Gen_nc[52],0.64,0.679,-0.57,1.855,0.061,0.043,122.0,122.0,142.0,376.0,1.03
Gen_nc[53],0.644,0.663,-0.501,1.924,0.027,0.03,609.0,247.0,629.0,593.0,1.01
Gen_nc[54],-0.088,0.387,-0.794,0.612,0.022,0.016,297.0,297.0,307.0,1124.0,1.03
Gen_nc[55],0.226,0.665,-1.17,1.238,0.086,0.061,59.0,59.0,66.0,49.0,1.05
Gen_nc[56],0.974,0.592,-0.088,2.096,0.018,0.015,1026.0,826.0,1002.0,1611.0,1.03
Gen_nc[57],0.92,0.394,0.145,1.652,0.017,0.013,554.0,481.0,540.0,1507.0,1.01
Gen_nc[58],1.337,0.61,0.177,2.465,0.022,0.016,745.0,745.0,736.0,1795.0,1.01
Gen_nc[59],2.228,0.629,1.024,3.36,0.036,0.027,300.0,264.0,313.0,219.0,1.02
Gen_nc[60],1.866,0.593,0.848,3.064,0.043,0.032,193.0,170.0,212.0,177.0,1.03
Gen_nc[61],0.619,0.532,-0.445,1.596,0.016,0.011,1148.0,1148.0,1128.0,1813.0,1.02
Gen_nc[62],0.85,0.554,-0.171,2.007,0.022,0.019,621.0,446.0,642.0,240.0,1.03
Gen_nc[63],0.496,0.639,-0.731,1.631,0.039,0.027,273.0,273.0,282.0,426.0,1.01
Gen_nc[64],-0.119,0.705,-1.369,1.233,0.092,0.066,58.0,58.0,65.0,146.0,1.04
Gen_nc[65],0.635,0.553,-0.333,1.742,0.032,0.024,293.0,263.0,319.0,474.0,1.02
Gen_nc[66],0.284,0.727,-0.896,1.916,0.123,0.125,35.0,17.0,44.0,18.0,1.06
Gen_nc[67],-0.393,0.665,-1.509,0.815,0.077,0.054,75.0,75.0,87.0,304.0,1.04
Gen_nc[68],0.211,0.645,-0.958,1.361,0.037,0.026,311.0,311.0,368.0,1341.0,1.01
Gen_nc[69],-0.395,0.56,-1.436,0.66,0.036,0.025,246.0,246.0,237.0,553.0,1.01
