,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept,1.471,0.861,-0.146,3.096,0.02,0.014,1803.0,1803.0,1802.0,2220.0,1.0
Ord_nc[0],-0.142,0.738,-1.663,1.17,0.015,0.013,2412.0,1641.0,2417.0,2386.0,1.0
Ord_nc[1],0.712,0.96,-1.048,2.593,0.022,0.016,1870.0,1870.0,1883.0,1961.0,1.0
Ord_nc[2],-0.42,0.86,-2.028,1.172,0.018,0.013,2414.0,2111.0,2399.0,2808.0,1.0
Ord_nc[3],-0.172,0.941,-1.888,1.576,0.035,0.024,743.0,743.0,798.0,1538.0,1.01
Ord_nc[4],-0.281,0.918,-1.942,1.488,0.022,0.016,1727.0,1727.0,1727.0,2168.0,1.0
Ord_nc[5],-0.073,0.925,-1.823,1.657,0.018,0.015,2590.0,1963.0,2580.0,2783.0,1.0
Ord_nc[6],0.121,0.957,-1.661,1.916,0.017,0.015,3223.0,1914.0,3227.0,2635.0,1.0
Ord_nc[7],0.175,0.948,-1.593,1.948,0.017,0.016,3150.0,1866.0,3139.0,2236.0,1.0
Ord_nc[8],-0.355,0.977,-2.196,1.438,0.02,0.016,2379.0,1859.0,2380.0,2705.0,1.0
Ord_nc[9],0.121,0.908,-1.542,1.836,0.017,0.015,2770.0,1938.0,2772.0,2688.0,1.0
Ord_nc[10],0.674,0.956,-1.233,2.32,0.046,0.044,441.0,239.0,388.0,494.0,1.01
Ord_nc[11],0.06,0.798,-1.441,1.551,0.016,0.012,2422.0,2079.0,2429.0,2579.0,1.0
Ord_nc[12],0.13,0.951,-1.586,2.05,0.04,0.029,555.0,555.0,553.0,339.0,1.01
Ord_nc[13],-0.041,0.948,-1.802,1.748,0.018,0.016,2845.0,1704.0,2838.0,2411.0,1.0
Fam_nc[0],0.243,0.955,-1.477,2.055,0.027,0.019,1278.0,1278.0,1298.0,1167.0,1.0
Fam_nc[1],-0.272,0.928,-2.048,1.408,0.02,0.015,2241.0,1843.0,2193.0,2310.0,1.0
Fam_nc[2],0.508,1.016,-1.392,2.366,0.026,0.019,1499.0,1408.0,1492.0,2058.0,1.0
Fam_nc[3],0.339,0.861,-1.286,1.881,0.022,0.015,1601.0,1601.0,1602.0,2022.0,1.0
Fam_nc[4],0.516,0.979,-1.441,2.183,0.028,0.02,1246.0,1246.0,1254.0,1920.0,1.01
Fam_nc[5],-0.11,0.891,-1.857,1.476,0.02,0.015,2042.0,1659.0,2042.0,2405.0,1.0
Fam_nc[6],-0.357,0.936,-2.032,1.4,0.025,0.018,1395.0,1395.0,1380.0,1785.0,1.0
Fam_nc[7],-0.612,0.921,-2.261,1.154,0.022,0.016,1706.0,1706.0,1712.0,2073.0,1.01
Fam_nc[8],0.167,0.95,-1.536,1.904,0.035,0.025,723.0,723.0,711.0,1813.0,1.01
Fam_nc[9],-0.167,0.95,-1.877,1.712,0.019,0.015,2477.0,1898.0,2478.0,2285.0,1.0
Fam_nc[10],0.216,0.906,-1.41,1.923,0.021,0.015,1909.0,1906.0,1887.0,2335.0,1.0
Fam_nc[11],-0.205,0.92,-1.931,1.517,0.021,0.015,1967.0,1888.0,1950.0,1935.0,1.0
Fam_nc[12],-0.164,0.947,-1.943,1.615,0.02,0.018,2360.0,1314.0,2343.0,2154.0,1.0
Fam_nc[13],-0.215,0.967,-1.987,1.563,0.023,0.018,1830.0,1445.0,1828.0,2149.0,1.0
Fam_nc[14],-0.057,0.943,-1.868,1.65,0.025,0.018,1391.0,1391.0,1334.0,2408.0,1.0
Fam_nc[15],-0.007,0.899,-1.621,1.735,0.019,0.015,2349.0,1694.0,2348.0,2109.0,1.0
Fam_nc[16],0.159,0.96,-1.732,1.91,0.017,0.015,3250.0,1994.0,3258.0,2330.0,1.0
Fam_nc[17],0.28,1.012,-1.598,2.141,0.045,0.032,515.0,515.0,538.0,417.0,1.01
Fam_nc[18],0.181,1.007,-1.684,2.058,0.048,0.034,436.0,436.0,447.0,278.0,1.0
Fam_nc[19],0.446,1.013,-1.487,2.339,0.022,0.017,2211.0,1755.0,2232.0,2496.0,1.0
