mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
0.833,0.885,-0.727,2.564,0.03,0.021,879.0,879.0,883.0,2098.0,1.0
-0.072,0.683,-1.344,1.28,0.014,0.012,2394.0,1510.0,2388.0,1496.0,1.0
-0.398,0.63,-1.661,0.734,0.014,0.011,1899.0,1750.0,1901.0,2118.0,1.0
1.4,0.6,0.287,2.559,0.014,0.01,1731.0,1640.0,1754.0,2436.0,1.0
0.197,0.816,-1.337,1.726,0.019,0.014,1814.0,1593.0,1796.0,2459.0,1.01
0.186,0.718,-1.169,1.549,0.016,0.012,1898.0,1699.0,1900.0,2507.0,1.0
-0.799,0.532,-1.804,0.195,0.014,0.01,1492.0,1325.0,1545.0,1568.0,1.0
-0.863,0.832,-2.468,0.673,0.018,0.014,2142.0,1845.0,2115.0,2450.0,1.0
-0.601,0.66,-1.934,0.605,0.014,0.01,2378.0,2048.0,2301.0,2405.0,1.0
-0.253,0.93,-1.914,1.578,0.033,0.026,805.0,650.0,808.0,630.0,1.01
1.079,0.576,0.036,2.188,0.014,0.01,1624.0,1554.0,1628.0,2373.0,1.0
0.489,0.624,-0.679,1.645,0.02,0.014,995.0,941.0,950.0,2503.0,1.0
0.089,0.487,-0.78,1.058,0.016,0.012,874.0,874.0,878.0,1754.0,1.01
0.291,0.479,-0.584,1.218,0.017,0.012,840.0,840.0,844.0,1619.0,1.01
0.793,0.523,-0.129,1.825,0.017,0.012,984.0,984.0,1005.0,1683.0,1.0
0.253,0.496,-0.694,1.162,0.017,0.012,839.0,839.0,842.0,1432.0,1.01
0.012,0.979,-1.894,1.78,0.018,0.02,2982.0,1185.0,3032.0,1595.0,1.01
-0.428,0.71,-1.766,0.874,0.028,0.02,641.0,641.0,643.0,942.0,1.0
-0.4,0.651,-1.637,0.818,0.016,0.012,1735.0,1532.0,1717.0,2284.0,1.0
0.334,0.548,-0.637,1.415,0.016,0.012,1119.0,1119.0,1108.0,1915.0,1.01
0.207,0.555,-0.808,1.223,0.016,0.011,1170.0,1170.0,1183.0,1926.0,1.0
0.662,0.628,-0.499,1.789,0.027,0.019,551.0,551.0,565.0,775.0,1.01
-0.121,0.07,-0.255,0.004,0.002,0.001,1133.0,1133.0,1143.0,1840.0,1.01
-0.176,0.19,-0.546,0.168,0.004,0.003,2114.0,1933.0,2117.0,2181.0,1.0
0.388,0.644,-0.774,1.627,0.016,0.011,1611.0,1611.0,1642.0,1696.0,1.0
0.436,0.656,-0.74,1.661,0.017,0.012,1575.0,1575.0,1614.0,2023.0,1.0
-0.123,0.133,-0.368,0.136,0.003,0.002,1479.0,1479.0,1478.0,2245.0,1.0
-0.205,0.304,-0.825,0.333,0.007,0.005,1681.0,1553.0,1673.0,1703.0,1.01
0.009,0.488,-0.937,0.889,0.016,0.011,917.0,917.0,931.0,1773.0,1.01
-0.067,0.299,-0.669,0.475,0.007,0.006,1879.0,1141.0,1850.0,1578.0,1.0
0.516,0.355,-0.179,1.171,0.008,0.006,1837.0,1837.0,1906.0,963.0,1.0
-0.248,0.288,-0.823,0.269,0.007,0.005,1819.0,1819.0,1837.0,2308.0,1.0
