,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept,0.041,0.812,-1.553,1.539,0.023,0.02,1204.0,857.0,1207.0,1367.0,1.0
Cla_nc[0],0.09,0.837,-1.46,1.64,0.031,0.022,745.0,745.0,800.0,610.0,1.0
Cla_nc[1],-0.202,0.836,-1.789,1.415,0.015,0.014,3181.0,1852.0,3076.0,2448.0,1.01
Ord_nc[0],0.168,0.838,-1.446,1.697,0.028,0.02,881.0,881.0,906.0,582.0,1.01
Ord_nc[1],-0.016,0.954,-1.687,1.816,0.028,0.02,1123.0,1123.0,1115.0,2297.0,1.01
Ord_nc[2],0.125,0.915,-1.599,1.889,0.018,0.02,2709.0,1064.0,2687.0,2445.0,1.01
Ord_nc[3],-0.101,1.014,-2.007,1.737,0.022,0.02,2042.0,1336.0,2050.0,1623.0,1.0
Ord_nc[4],-0.065,0.991,-1.864,1.788,0.025,0.018,1583.0,1583.0,1728.0,2462.0,1.0
Ord_nc[5],-0.259,0.964,-2.178,1.403,0.027,0.021,1300.0,1021.0,1311.0,1077.0,1.0
Ord_nc[6],-0.117,0.973,-1.939,1.612,0.029,0.02,1137.0,1137.0,1151.0,1233.0,1.0
Ord_nc[7],0.211,0.963,-1.593,1.953,0.033,0.024,837.0,837.0,832.0,1258.0,1.0
Ord_nc[8],0.188,0.97,-1.605,1.928,0.022,0.019,2027.0,1259.0,2017.0,1761.0,1.01
Ord_nc[9],0.103,0.93,-1.702,1.79,0.023,0.019,1621.0,1183.0,1619.0,1597.0,1.0
Ord_nc[10],0.099,1.014,-1.568,2.316,0.047,0.043,456.0,276.0,486.0,78.0,1.01
Ord_nc[11],-0.182,0.935,-1.967,1.56,0.025,0.018,1429.0,1392.0,1416.0,2498.0,1.0
Ord_nc[12],-0.009,0.903,-1.761,1.65,0.024,0.017,1363.0,1363.0,1357.0,2379.0,1.01
Ord_nc[13],0.099,0.988,-1.783,1.872,0.023,0.019,1813.0,1402.0,1845.0,2277.0,1.0
Ord_nc[14],-0.344,0.972,-2.171,1.46,0.019,0.018,2681.0,1416.0,2647.0,1990.0,1.0
Ord_nc[15],0.074,0.962,-1.735,1.909,0.02,0.018,2313.0,1376.0,2293.0,2143.0,1.0
Ord_nc[16],0.082,0.974,-1.7,1.956,0.021,0.022,2053.0,1018.0,2106.0,1659.0,1.01
Ord_nc[17],-0.164,0.984,-2.155,1.562,0.031,0.023,1022.0,937.0,1046.0,1037.0,1.0
Ord_nc[18],0.01,0.964,-1.734,1.761,0.019,0.019,2628.0,1319.0,2649.0,2250.0,1.0
Ord_nc[19],0.175,0.956,-1.515,2.004,0.027,0.019,1286.0,1286.0,1325.0,2140.0,1.0
